0: [[8, 47, 32, 19, 20, 60], [29, 12, 2, 33, 35, 43], [9, 15, 59, 7, 41], [28, 40, 38, 22, 5, 16, 18], [1, 45, 26, 23, 31, 3], [4, 51, 30, 46, 10], [27, 13, 14, 17, 34, 21, 6], [25, 42, 36, 11, 39, 37], [44, 53, 52, 54, 58, 24], [49, 50, 56, 48, 55, 57]]
1: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
2: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
3: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
4: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
5: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
6: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
7: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
8: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
9: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
10: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
11: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
12: [[15, 18, 48, 44, 21, 55, 16, 5, 8, 17, 39, 40, 58, 29, 33, 13, 9, 6, 10, 11], [20, 12, 46, 19, 37, 30, 24, 57, 36, 32, 49, 27, 50, 38, 31, 51, 23, 45, 47, 3], [1, 2, 4, 52, 28, 7, 34, 22, 25, 54, 14, 35, 26, 53, 42, 43, 56, 59, 41, 60]]
