It No., Best MQ, No clusters, max clus, min clus
1,1.7942546583850931,4,6,4
2,1.927220927220927,5,5,3
3,1.8611369990680335,4,5,5
4,1.7264264264264264,3,7,6
5,1.9211640211640213,4,5,5
6,1.927856201769245,5,4,4
7,1.852726839723744,4,6,4
8,1.8658845560131758,5,4,4
9,1.9168350168350168,4,5,5
10,2.314461753080679,5,5,3
11,1.7200746965452849,3,7,6
12,1.7666069562621287,4,5,5
13,1.7548282470883088,3,7,6
14,1.723391812865497,3,7,6
15,2.026010101010101,6,5,2
16,1.9168350168350168,4,5,5
17,1.7574324324324326,4,5,5
18,2.0175925925925924,4,5,5
19,1.9412627951758386,5,4,4
20,1.9816776460254721,7,4,2
21,1.761764705882353,3,7,6
22,1.7477467534856346,3,7,6
23,1.8043062200956939,4,6,4
24,1.8418479054152677,4,6,3
25,1.8054014950566672,4,6,4
26,2.094824293353705,6,4,2
27,1.9282923897528361,4,5,5
28,2.0412897857291448,5,4,4
29,1.8053030303030302,4,5,5
30,2.027509881422925,5,4,4
31,1.761764705882353,3,7,6
