0: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
1: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
2: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
3: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
4: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
5: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
6: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
7: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
8: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
9: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
10: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
11: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
12: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
13: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
14: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
15: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
16: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
17: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
18: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
19: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
20: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
21: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
22: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
23: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
24: [[19, 7, 9, 1, 24, 2], [8, 3, 11, 15, 4, 12], [6, 13, 5, 20, 10, 14], [18, 17, 16, 23, 22, 28], [21, 26, 25, 27, 29]]
