0: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16, 21], [18, 25, 28, 20], [59, 27, 30], [38, 56, 45, 42], [58, 33, 34, 31], [61, 46, 40], [44, 37, 36, 32], [29, 35, 62, 43], [52, 51, 53], [41, 47, 55, 60], [48, 49, 54, 57, 63], [65, 64], [68, 70], [67, 66, 77, 69, 71, 73, 76, 75, 72], [74, 78, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
1: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16, 21], [18, 25, 28, 20], [59, 27, 30], [38, 56, 45, 42], [58, 33, 34, 31], [61, 46, 40], [44, 37, 36, 32], [29, 35, 62, 43], [52, 51, 53], [41, 47, 55, 60], [48, 49, 54, 57, 63], [65, 64], [68, 70], [67, 66, 77, 69, 71, 73, 76, 75, 72], [74, 78, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
2: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 8], [3, 9, 14, 15], [26, 19, 50], [11, 16, 17, 21], [18, 28, 29, 20], [59, 25], [27, 63, 40, 36], [31, 51, 30, 32, 33], [34, 41, 38, 46, 37, 35, 45, 47, 42, 52, 49, 43, 60, 44], [54, 56, 53, 55, 57, 58, 48, 62, 61, 65, 64, 68, 67], [66, 70, 74, 71, 69, 76, 78, 75, 73, 72], [79, 77, 84, 81, 82, 80, 83, 87, 85, 86], [88]]
3: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 21, 16, 17], [18, 28, 29], [20, 25, 31, 27], [54, 44, 40], [58, 51, 62, 36], [30, 33, 32, 34, 45], [37, 35, 38, 46, 41], [42, 57, 43, 53], [48, 56, 52, 49, 47, 55, 59, 60, 61, 63, 65, 64, 68, 67, 66, 70, 75, 71, 69, 72, 73, 74, 77, 76, 78, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
4: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16, 21], [18, 25, 20], [30, 27, 28, 29], [62, 58, 41, 31], [56, 32, 38, 55, 34, 35, 33, 36, 37, 45, 42, 46, 40, 44, 47, 51, 60, 49, 48, 53, 54, 43, 57, 52], [61, 59, 63], [65], [64, 68, 67, 69, 66, 77, 70, 78, 71, 73, 72, 75, 74, 76, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
5: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16], [20, 18, 30], [21, 28, 59], [29, 25, 27], [45, 41, 31, 61, 35, 40], [32, 34, 36, 43, 38, 42, 47, 44, 49, 46, 33, 53, 55, 52, 48, 37, 51, 58, 60, 63, 54, 57, 56, 62, 65, 64, 68, 70, 69, 66, 74, 75, 77, 71, 67, 73, 72, 76, 78, 79, 84, 81, 80, 82, 83], [87, 85, 86, 88]]
6: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16, 21], [18, 20, 27, 25], [59, 28, 29, 62, 30, 36], [31, 33], [44, 40, 38], [35, 32, 42, 43, 45, 34, 37, 41, 46], [48, 47, 54, 49, 51, 60, 55, 52, 53, 58, 57, 61, 56, 63, 65, 64, 68, 70, 69, 66, 75, 79, 67, 76, 71, 73, 72, 74, 77, 78, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
7: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 20, 16, 21], [17, 28, 18, 25], [30, 27, 29, 54, 53], [57, 41], [59, 56, 32, 34], [31, 36, 35, 47], [33, 38, 42, 37], [40, 43, 44, 62, 45], [55, 51, 46, 48, 52], [49, 58, 60, 61, 63], [65, 64, 68], [67, 69], [66, 76, 78, 71, 70, 73, 74, 72, 77, 75], [79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
8: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 8, 3], [9, 14, 15], [26, 19, 50], [11, 20, 16, 17], [18, 30, 29], [25, 21, 27, 28], [62, 63, 44, 37, 40, 31, 60, 33, 32, 34, 47, 35, 46], [36, 38, 42, 58, 41, 45, 43, 49, 55, 57], [53, 52, 54, 51, 48, 56, 61, 59, 65, 64, 68, 67, 73, 66, 75, 69, 71, 78, 72, 70, 76, 74, 77], [79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
9: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [35, 11, 8, 3, 9], [14, 15], [26, 19, 50], [10, 17, 16, 21], [18, 29, 28, 25], [61, 20], [27, 46, 63, 33], [42, 30, 40, 31], [38, 32, 36, 39, 37, 34, 41, 45, 43, 44, 47, 48, 51, 53, 49, 52, 55, 54, 57, 56, 62], [59, 60, 58, 65, 64, 68, 67, 70, 66, 75, 69, 71, 73, 74, 76, 72, 77, 79, 78, 84, 81, 80, 82, 83, 87, 85], [86, 88]]
10: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 21, 16, 17], [20, 18, 27, 25], [29, 28, 30, 54, 61], [33, 46], [49, 55, 40, 34], [31, 36, 35, 47], [32, 37, 43, 38], [41, 42, 48, 62, 44], [45, 51, 53, 57, 52], [60, 56, 58, 59, 63], [65, 64, 68], [67, 69], [66, 77, 70, 71, 76], [73, 72, 74], [75, 79, 78, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
