0: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
1: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
2: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
3: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
4: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
5: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
6: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
7: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
8: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
9: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
10: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
11: [[10, 5, 2], [3, 1], [8, 4, 6, 9, 11], [12, 13, 7]]
12: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
13: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
14: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
15: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
16: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
17: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
18: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
19: [[10, 5, 1, 2, 3], [8, 4], [6, 9, 11], [12, 13, 7]]
20: [[10, 5], [1, 3], [8, 6, 9, 11, 4], [12, 13, 7, 2]]
21: [[10, 5], [3, 1, 8, 4, 2], [6, 9, 11], [12, 13, 7]]
22: [[10, 5], [3, 1, 8, 4, 2], [6, 9, 11], [12, 13, 7]]
23: [[10, 5], [3, 1, 2], [8, 4, 6, 9, 11], [12, 13, 7]]
24: [[10, 5], [3, 1, 2], [8, 4, 6, 9, 11], [12, 13, 7]]
25: [[10, 5], [3, 1, 2], [8, 4, 6, 9, 11], [12, 13, 7]]
26: [[10, 5], [3, 1, 2], [8, 4, 6, 9, 11], [12, 13, 7]]
27: [[10, 5], [3, 1, 2], [8, 4, 6, 9, 11], [12, 13, 7]]
