0: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
1: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
2: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
3: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
4: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
5: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
6: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
7: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
8: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
9: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
10: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
11: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
12: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
13: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
14: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
15: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
16: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
17: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
18: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
19: [[4, 11, 38, 15, 6, 10], [1, 3, 42, 58, 27], [24, 16, 5, 44, 18], [53, 26, 41], [22, 28, 9, 23, 43], [59, 37, 36, 48, 39], [29, 12, 33, 51, 25], [14, 40, 13, 45, 46, 21], [52, 32, 56, 7, 8], [17, 35, 34, 2], [19, 47, 55, 20, 30, 31], [50, 60, 54, 49, 57]]
