0: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12, 22], [11, 17, 15, 16], [13, 29, 14], [18, 20, 19, 10], [23, 24, 28], [21, 27, 26]]
1: [[25, 8, 5, 2], [9, 7, 1, 3], [4, 6, 12, 22], [11, 17, 15, 16], [13, 29, 14], [18, 20, 19, 10], [23, 24, 28], [21, 27, 26]]
2: [[25, 8, 5, 2], [9, 7, 1, 3, 4], [6, 12, 22, 11], [17, 15, 10], [13, 29, 14, 18], [23, 16, 19, 20], [24, 28], [21, 27, 26]]
3: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22, 11], [17, 15], [16, 13, 29], [14, 18, 19, 20], [10, 23, 24, 28], [21, 26, 27]]
4: [[25, 8, 5, 2], [9, 7, 1, 3, 4], [6, 12, 22, 11], [17, 15, 10], [13, 29, 14], [18, 20, 19, 16, 23, 24, 28], [21, 27, 26]]
5: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6, 12, 22], [11], [17, 15], [16, 13, 29, 14], [18, 19], [20, 23, 24, 10], [28, 21, 27, 26]]
6: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12, 23], [11, 17, 15, 16], [13, 22, 14, 18], [21, 19, 10, 20], [24, 28], [29, 27, 26]]
7: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [22, 11, 17, 15], [10, 13, 14, 16, 18, 21, 19, 20, 29, 24, 28, 23], [27, 26]]
8: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6], [12, 22, 11], [17, 15, 16], [10, 29, 13], [18, 20, 19, 14], [23, 28, 24, 21], [27, 26]]
9: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [19, 11, 17, 15, 29, 10, 14, 13, 18, 20, 16, 22], [23, 26, 28, 21, 27, 24]]
10: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 12], [6, 11], [17, 15, 13, 10, 14], [16, 18, 19, 20, 22], [23, 29, 24], [28, 21, 27, 26]]
11: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [11, 17, 15, 16], [29, 14], [18, 23, 20, 13, 10, 22], [19, 24, 27, 21, 26, 28]]
12: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 12, 23, 11], [17, 13, 10, 14], [15, 29, 16], [18, 19, 22, 20], [28, 24, 21], [27, 26]]
13: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 11, 10, 19], [12, 15, 29, 13], [14, 20, 22, 18], [16, 17, 23, 24], [27, 21, 28, 26]]
14: [[25, 8, 5, 2], [9, 7, 1, 3, 4, 6, 12, 22, 11, 17, 15, 10, 13, 14, 16, 18, 20, 19, 24, 21, 23, 28], [29, 27, 26]]
15: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [22, 11, 17], [15, 16, 10, 14], [13, 18, 20], [19, 23, 24], [29, 28, 21, 27, 26]]
16: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6], [12, 22, 11], [17, 15, 16, 10, 29], [14, 18, 20], [19, 13, 23], [24, 28, 21, 27, 26]]
17: [[25, 8, 5], [2, 9], [7, 1, 3], [4, 6, 12], [22, 11, 17], [15, 10, 13, 14], [18, 19, 20, 16], [26, 23, 24, 28], [21, 27, 29]]
18: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [11, 17], [13, 26], [15, 18, 19, 14], [16, 20, 23, 24, 10, 22], [28, 21, 27, 29]]
