0: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
1: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
2: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
3: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
4: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
5: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
6: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
7: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
8: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
9: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
10: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
11: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
12: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
13: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
14: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
15: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
16: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
17: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
18: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
19: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
20: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
21: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
22: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
23: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
24: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
25: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
26: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
27: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
28: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
29: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
30: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
31: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
32: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
33: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
34: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
35: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
36: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
37: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
38: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 9, 3], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
39: [[11, 12], [2, 1, 5, 7], [6, 10, 8, 3, 9], [13, 14, 16, 15, 4], [17, 18, 19, 20]]
