0: [[17, 19, 1], [22, 4], [9, 3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
1: [[17, 19, 1], [22, 4], [9, 3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
2: [[17, 19, 1], [22, 4], [9, 3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
3: [[17, 19, 1], [22, 4], [9, 3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
4: [[17, 19, 1], [22, 4], [9, 3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
5: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20], [16, 18], [21, 23, 24]]
6: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20], [16, 18], [21, 23, 24]]
7: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
8: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
9: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
10: [[22, 4, 9, 3, 17, 19, 1], [5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20], [16, 18], [21, 23, 24]]
11: [[22, 4, 9, 3, 17, 19, 1], [5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
12: [[22, 4, 9, 3, 17, 19, 1], [5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
13: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14], [2, 7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
14: [[22, 4, 9, 17, 19, 1], [3, 5, 6], [10, 14, 2, 7], [12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
15: [[17, 19], [1, 22, 4], [9, 3, 5, 6], [10, 14], [2, 7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
16: [[22, 17, 19], [4, 9, 3, 1], [5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
17: [[22, 17, 19, 1], [4, 9], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
18: [[22, 17, 19, 1], [4, 9], [3, 5, 6], [10, 14, 2], [7, 12, 11], [8, 15, 13, 20, 16, 18], [21, 23, 24]]
