0: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
1: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
2: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
3: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
4: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
5: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
6: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
7: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
8: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
9: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
10: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
11: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
12: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
13: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
14: [[14, 19, 4, 2, 1, 10], [5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
15: [[14, 19, 4, 2, 1, 10, 5, 7], [3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
16: [[14, 19, 4, 2, 1, 10, 5, 7], [3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
17: [[14, 19, 4, 2, 1, 10, 5, 7], [3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
18: [[14, 19, 4, 2, 1, 10, 5, 7], [3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
19: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
20: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
21: [[14, 19, 4, 2, 1, 10, 5], [7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
22: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
23: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
24: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
25: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
26: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
27: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
28: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
29: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
30: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9], [11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
31: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9], [11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
32: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9], [11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
33: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11, 12], [15, 20, 16, 17, 18, 22], [21, 23, 24]]
34: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11, 12], [15, 20, 16, 17, 18, 22], [21, 23, 24]]
35: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8], [9, 11, 12, 15, 20, 16, 17, 18, 22], [21, 23, 24]]
36: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11, 12, 15], [20, 16, 17, 18, 22], [21, 23, 24]]
37: [[14, 19, 4, 2, 1], [10, 5, 7, 3, 13, 6, 8, 9, 11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
38: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
39: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
40: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
41: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9, 11], [12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
42: [[14, 19, 4, 2, 1, 10, 5, 7, 3, 13, 6, 8, 9], [11, 12, 15, 20, 16, 17, 18], [22, 21, 23, 24]]
