0: [[16, 3], [14, 2, 10], [20, 17, 1], [13, 5, 6], [11, 12, 18, 7, 9], [22, 4], [8, 15, 19], [21, 23, 24]]
1: [[2, 10, 14], [20, 17], [1, 13], [5, 6, 11], [12, 18, 7, 16, 3], [9, 22, 4], [8, 15, 19], [21, 23, 24]]
2: [[2, 10, 14], [20, 17], [1, 13], [5, 6], [11, 12], [18, 7, 9, 16, 3], [22, 4], [8, 15, 19], [21, 23, 24]]
3: [[2, 10, 20, 14], [17, 1, 13, 5, 6], [11, 12], [18, 7, 9, 16, 3], [22, 4], [8, 15, 19], [21, 23, 24]]
4: [[16, 3], [14, 2, 10, 20, 17, 1, 13, 5, 6], [11, 12, 18, 7], [9, 22, 4], [8, 15, 19], [21, 23, 24]]
5: [[2, 10, 14], [20, 17], [1, 13, 5], [6, 11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15, 19], [21, 23, 24]]
6: [[2, 10, 14], [20, 17], [1, 13, 5, 6, 11, 12], [18, 7, 9, 22, 16, 3], [4, 8, 15, 19], [21, 23, 24]]
7: [[2], [10, 20, 17, 14], [1, 13], [5, 6], [11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15, 19], [21, 23, 24]]
8: [[2], [10, 20, 14], [17, 1], [13, 5, 6], [11, 12, 18, 16, 3], [7, 9], [22, 4], [8, 15, 19], [21, 23, 24]]
9: [[2, 10, 20], [17, 1, 13], [5, 6], [11, 12, 18, 16, 3], [7, 9, 22, 14], [4, 8, 15, 19], [21, 23, 24]]
10: [[2], [10, 20, 17, 14], [1, 13, 5], [6, 11], [12, 18, 7, 16, 3], [9, 22], [4, 8, 15, 19], [21, 23, 24]]
11: [[2, 10, 14], [20, 17], [1, 13], [5, 6, 11], [12, 18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21], [23, 24]]
12: [[16, 3], [14, 2, 10], [20, 17, 1], [13, 5, 6], [11, 12, 18, 7, 9], [22, 4, 8, 15], [19, 21], [23, 24]]
13: [[2], [10, 20, 17, 14], [1, 13, 5], [6, 11], [12, 18, 7, 16, 3], [9, 22, 4, 8], [15, 19], [21, 23, 24]]
14: [[2, 10, 20, 14], [17, 1], [13, 5, 6], [11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21], [23, 24]]
15: [[2], [10, 20, 14], [17, 1], [13, 5, 6, 11], [12, 18, 16, 3], [7, 9], [22, 4], [8, 15, 19, 21], [23, 24]]
16: [[16, 3], [2, 10, 14], [20, 17, 1, 13], [5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15], [19, 21, 23, 24]]
17: [[16, 3], [14, 2, 10, 20, 17, 1, 13, 5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21], [23, 24]]
18: [[2], [10, 20, 17, 14], [1, 13, 5], [6, 11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21], [23, 24]]
19: [[2, 10, 14], [20, 17], [1, 13, 5], [6, 11], [12, 18, 16, 3], [7, 9, 22, 4], [8, 15], [19, 21], [23, 24]]
20: [[2, 10, 14], [20, 17], [1, 13, 5], [6, 11], [12, 18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21, 23, 24]]
21: [[2, 10, 14], [20, 17, 1], [13, 5], [6, 11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21, 23, 24]]
22: [[2, 10, 14], [20, 17], [1, 13, 5], [6, 11, 12], [18, 7, 16, 3], [9, 22], [4, 8, 15], [19, 21], [23, 24]]
23: [[16, 3], [14, 2, 10], [20, 17], [1, 13], [5, 6], [11, 12], [18, 7, 9], [22, 4], [8, 15, 19], [21, 23], [24]]
24: [[16, 3], [14, 2], [20, 1, 13, 5, 6, 11, 12, 18, 7, 9, 22, 10, 17], [4, 8, 15, 19, 21], [23, 24]]
25: [[2], [10, 20, 17, 14], [1, 13, 5], [6, 11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21, 23, 24]]
26: [[2], [10, 20, 17, 14], [1, 13, 5], [6, 11], [12, 18, 7, 16, 3], [9, 22, 4], [8, 15], [19, 21, 23, 24]]
27: [[16, 3, 14, 2, 10, 20, 17, 1, 13, 5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15], [19, 21], [23, 24]]
28: [[2, 10, 14], [20, 17, 1], [13, 5], [6, 11, 12], [18, 7, 9, 22, 16, 3], [4, 8, 15], [19, 21], [23, 24]]
29: [[2], [10, 20, 14], [17, 1, 13], [5, 6, 11], [12, 18, 16, 3], [7, 9, 22, 4], [8, 15], [19, 21, 23, 24]]
30: [[16, 3], [14, 2, 10], [20, 17, 1, 13], [5, 6], [11, 12, 18, 7, 9], [22, 4], [8, 15, 19, 21, 23, 24]]
31: [[2, 10, 20], [17, 1], [13, 5, 6], [11, 12, 18, 16, 3], [7, 9, 14], [22, 4, 8], [15, 19, 21], [23, 24]]
32: [[2], [10, 20, 17, 14], [1, 13], [5, 6, 11], [12, 18, 7, 16, 3], [9, 22, 4], [8, 15, 19, 21, 23, 24]]
33: [[16, 3], [14, 2, 10, 20], [17, 1, 13], [5, 6, 11, 12, 18, 7, 9, 22, 4], [8, 15, 19, 21, 23, 24]]
34: [[2, 10, 14], [20, 17, 1], [13, 5, 6], [11, 12, 18, 16, 3], [7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
35: [[16, 3], [14, 2, 10], [20, 17], [1, 13], [5, 6, 11], [12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
36: [[16, 3], [14, 2, 10], [20, 17, 1, 13, 5, 6], [11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
37: [[2, 10, 14], [20, 17], [1, 13], [5, 6], [11, 12, 18, 16, 3], [7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
38: [[2, 10, 14], [20, 17, 1], [13, 5, 6, 11], [12, 18, 16, 3], [7, 9, 22], [4, 8, 15, 19, 21, 23, 24]]
39: [[2], [10, 20, 14], [17, 1, 13, 5], [6, 11, 12], [18, 7, 16, 3], [9, 22, 4], [8, 15, 19, 21, 23, 24]]
40: [[16, 3], [14, 2, 10, 20], [17, 1, 13, 5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
41: [[2, 10, 14], [20, 17, 1], [13, 5, 6, 11], [12, 18], [7, 9, 22], [4, 8, 16, 3], [15, 19, 21, 23, 24]]
42: [[16, 3], [14, 2, 10], [20, 17, 1], [13], [5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
43: [[2], [10, 20, 14], [17, 1], [13, 5, 6], [11, 12, 18, 7, 16], [9, 22], [4, 8, 3], [15, 19, 21, 23, 24]]
44: [[2, 10, 14], [20, 17], [1, 13, 5], [6, 11, 12, 16, 3], [18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
45: [[2, 10, 14], [20, 17], [1, 13], [5, 6, 11], [12, 18, 7, 16, 3], [9, 22, 4, 8], [15, 19, 21, 23], [24]]
46: [[16, 3, 14, 2, 10], [20, 17, 1], [13, 5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
47: [[16, 3, 14], [2, 10, 20], [17, 1, 13, 5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
48: [[16, 3], [14, 2, 10, 20, 17, 1, 13, 5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23], [24]]
49: [[16, 3], [14, 2], [10, 20, 17], [1, 13], [5, 6, 11, 12, 18, 7, 9, 22, 4, 8, 15, 19, 21, 23, 24]]
