0: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [13, 8, 29, 14, 10, 21, 6], [15, 16, 23, 22, 17, 25, 18], [20, 27, 26, 19, 30, 31, 56, 32], [47, 39, 40, 33, 36, 37], [45, 38, 42, 41, 43], [46, 44, 50, 53, 54], [49, 57], [48, 51, 52, 55, 58, 59, 60]]
1: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 10, 14, 6, 8, 21, 20, 15, 18, 13], [16, 17, 19, 25, 23, 31, 22, 26], [27, 30, 29, 39, 32, 37, 33, 41, 38, 36, 42], [44, 45, 40, 43, 46, 51, 47], [57, 53, 52, 48, 49, 54], [56, 55, 50, 58, 59, 60]]
2: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5], [8, 14, 13, 15, 25, 18, 10, 21, 6], [30, 17, 16], [29, 19, 31, 20, 22, 27, 23, 26, 48, 32, 39, 45, 33, 42, 38, 41, 40, 43, 36, 46, 37, 50, 44, 47, 51, 52], [58, 49, 53, 56, 54, 55, 57, 59, 60]]
3: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [14, 6, 8, 10, 13, 21, 29, 17], [18, 22, 15, 19, 16, 23], [31, 20, 27, 25, 30, 26, 56, 32, 33, 38, 36, 42, 45, 37, 40, 44, 43], [39, 46, 58, 41, 47, 48, 59, 50, 52, 49, 51, 55, 53, 54, 57, 60]]
4: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10], [8, 6, 15], [14, 13, 25, 18, 21, 19, 20, 30, 17, 31, 16, 22, 23, 26, 27, 29, 56, 40, 39, 36, 32, 38, 33, 41, 37, 42, 44, 43, 46, 52, 45, 48, 51, 47], [54, 49, 53, 57, 55, 58, 50, 59, 60]]
5: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10, 6, 8, 14, 13, 21, 29], [26, 15, 16, 18, 25], [22, 19, 23, 17, 27, 20, 31, 32, 40], [41, 36, 30, 37, 33, 38, 39, 42, 45, 46, 47, 44, 58, 50, 49, 43, 48, 51, 53, 52, 54, 55, 57, 60, 59, 56]]
6: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [8, 6, 14, 15, 21, 13, 31, 16, 18], [19, 20, 17, 22, 23], [27, 26, 25], [29, 30, 42, 48, 39, 33, 36, 32, 37], [40, 47, 44, 38, 41, 43, 46, 51, 50, 52, 45, 49, 55, 54, 60, 56, 58, 57, 53, 59]]
7: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4, 24, 9], [5, 10, 6, 8, 13, 29, 18, 15, 21, 16, 22, 14, 17], [19, 20, 23, 26, 27, 25, 30, 31], [56, 33, 37, 32, 36, 38, 39, 40, 46, 44, 41, 42], [43, 47, 50, 53, 45, 49, 52, 48, 58, 54, 57, 59, 55, 51, 60]]
8: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4], [24, 9, 5, 10, 8, 6, 14], [13, 15, 19, 26, 17, 21, 18, 23], [16, 22], [31, 25, 30, 20, 27], [29, 56, 32, 45, 33, 44, 37, 38, 39, 41, 43, 42], [36, 40], [46, 58, 50, 47, 52, 48, 51], [49, 57, 53, 54, 55, 59, 60]]
9: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [6, 8, 29, 14, 10, 21, 13], [15, 18, 16, 17, 19, 22, 23], [20, 31, 26, 25, 30, 27, 56], [32, 45, 39, 41, 33, 36, 37], [38, 40, 46, 42, 43], [44, 52, 48, 55, 54], [49, 47], [51, 50, 53, 60, 58, 59, 57]]
10: [[28, 35, 2, 34, 1, 7, 11, 3], [12, 4, 24, 9, 5, 8], [14, 6, 10, 13, 21, 15], [17, 18, 20, 16, 23, 26], [22, 27, 19, 25, 30, 29], [31, 48, 32, 33, 37, 36, 41], [38, 47, 39, 40, 44], [42, 46, 43], [56, 54, 45, 60, 53, 50], [49, 51, 58, 52, 55, 57, 59]]
11: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 14, 6, 10, 30, 8, 21], [13, 15, 17, 19, 29, 16, 20, 23, 18, 22], [25, 27, 26, 31, 41, 48, 36, 33, 32, 38, 44, 37, 45, 39, 46, 43, 40], [42, 47, 50, 53, 49, 55, 57, 51, 59, 60, 52, 54, 56], [58]]
12: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10], [8, 14, 13, 6, 21, 29], [15, 16, 19, 18, 17], [22, 20, 23, 25, 27, 26, 30, 60], [48, 36, 31, 33, 39, 37, 46, 42, 45, 32, 41, 40, 38, 44, 52, 47, 43, 53, 49, 51, 55, 50, 56, 54, 59, 58, 57]]
13: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 6, 14, 8, 10, 31, 21, 13], [15, 19, 22, 20, 16, 17, 18, 27, 23, 26, 25, 30, 43, 52, 32], [36, 29, 33, 45, 37, 41, 46, 39, 38, 47, 40, 42, 44, 49, 48, 51, 50, 58, 53, 54], [59, 57, 56, 55, 60]]
14: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9], [5, 10, 8, 21, 15, 6, 13], [17, 19, 16, 18, 20, 14], [23, 25, 30, 22, 27, 26], [31, 29, 56, 40, 38, 32, 44], [39, 37, 33, 36, 42, 45, 43, 46, 48, 47], [53, 50], [41, 54, 49], [51, 60, 55, 58, 52, 59, 57]]
