0: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
1: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
2: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
3: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
4: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
5: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
6: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
7: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
8: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
9: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
10: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
11: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
12: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
13: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
14: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
15: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
16: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
17: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
18: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
19: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
20: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
21: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
22: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
23: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
24: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
25: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
26: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
27: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
28: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
29: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
30: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
31: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
32: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
33: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
34: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
35: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
36: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
37: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
38: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
39: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
40: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
41: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
42: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
43: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
44: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
45: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
46: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
47: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
48: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
49: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
50: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
51: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
52: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
53: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
54: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
55: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
56: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
57: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
58: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
59: [[13, 4, 1, 3, 10, 14], [2, 7, 15, 5, 6], [8, 11, 24, 18, 12], [9, 17, 16, 23, 19, 22], [28, 20, 25], [21, 27, 26, 29]]
