0: [[1, 5, 2, 3, 7, 9], [14, 4], [10, 8], [11, 12, 13], [16, 6, 15], [19, 17, 18, 20]]
1: [[1, 5, 2, 3, 7, 9], [14, 4], [10, 8], [11, 12, 13], [16, 6, 15], [19, 17, 18, 20]]
2: [[1, 5, 2], [3, 7, 6], [8, 10], [11, 12, 13, 9], [14, 18, 16, 4, 15], [17, 19, 20]]
3: [[1, 5, 2, 3], [7, 9, 6, 4], [11, 12, 13], [10, 8], [16, 14, 15, 19], [17, 18, 20]]
4: [[1, 5, 2], [3, 7, 9], [11], [14, 4], [8, 12, 13], [10, 16, 6, 15], [17, 19, 18, 20]]
5: [[1, 5, 2], [3, 7, 9], [6, 14, 10, 4], [13, 8, 11, 12, 16, 15], [17, 19, 18, 20]]
6: [[1, 5, 2], [3, 7, 9, 6], [8, 10], [12, 19, 11], [13, 14, 18, 17, 16, 20, 4, 15]]
7: [[1, 5, 2], [3, 7, 11], [12, 13], [10, 8], [14, 16, 15, 17, 19, 18, 20, 9, 4, 6]]
8: [[1, 5, 2], [3, 7, 6], [8, 10], [13, 11, 9, 4], [12, 14, 17, 18], [16, 19, 20, 15]]
9: [[1, 5, 2], [3, 7, 11, 9], [10, 4, 6], [12, 14, 15], [8, 13, 16], [19, 17, 18, 20]]
10: [[1, 5, 2, 3, 7], [6, 4, 8, 11, 13, 12, 14, 10, 9], [15, 16, 19], [17, 20, 18]]
11: [[1, 5, 2], [3, 7, 11, 9], [10], [12, 8], [14, 13, 16, 4, 6, 15], [19, 17], [18, 20]]
12: [[1, 5, 2], [3, 7, 11, 9], [14, 13, 8, 4, 6], [10, 12], [20, 19], [17, 18, 16, 15]]
13: [[1, 5, 2, 3], [7, 9, 6, 12], [14, 4, 8, 10, 13, 11], [15, 20, 19, 17, 16, 18]]
14: [[1, 5, 2], [3, 7, 9], [6, 10, 8, 11, 14, 13, 4], [12, 15], [19, 16, 18, 20, 17]]
15: [[1, 5, 2], [3, 7, 11, 9], [12], [14, 4, 6], [13, 16], [8, 10, 18, 15], [17, 19, 20]]
16: [[1, 5], [2, 3, 7, 11, 9], [8, 10], [13], [12], [14, 16, 19, 4, 6, 15], [17, 18, 20]]
17: [[1, 5, 2, 3, 7, 11], [6, 12, 4, 15], [8, 14], [10, 13, 16, 9], [19, 17, 18, 20]]
18: [[1, 5, 2], [3, 7, 11], [14, 8, 4, 6], [12, 10, 13], [15, 20, 19, 17, 18, 16, 9]]
19: [[1, 5, 2], [3, 7, 9, 6], [14, 4], [8, 13, 12, 10, 11, 15, 20, 19, 16, 17, 18]]
20: [[1, 5, 2], [3, 7, 6], [14, 11, 4], [8], [13, 10, 17, 9], [12, 16, 19, 18, 20, 15]]
21: [[1, 5, 2, 3], [7, 14, 9, 4, 6], [10], [13, 12, 15], [8, 11, 16], [19, 17, 18, 20]]
22: [[1, 5, 2, 3], [7], [12, 4, 15], [14, 11, 9, 6], [8, 10, 13], [19, 16, 17, 18, 20]]
23: [[1, 5, 2], [3, 7, 9, 6], [8, 10, 11, 4], [14, 12, 15], [13, 17, 19, 18, 16, 20]]
24: [[1, 5, 2, 3, 7, 11], [6, 12, 9], [10, 14, 4], [8, 13, 16, 15], [19, 17, 18, 20]]
25: [[1, 5, 2], [3, 7, 11, 9], [10, 8], [12, 14, 15], [20], [13, 19, 4, 6], [17, 18, 16]]
26: [[1, 5, 2], [3, 7, 9, 6], [11, 8, 4], [13, 12, 16, 10, 15], [14, 19, 17, 18, 20]]
27: [[1, 5], [2, 3, 7, 6], [11, 14, 13, 9], [10, 8], [12, 16, 15], [19, 4], [17, 18, 20]]
28: [[1, 5, 2, 3, 7], [9, 6, 4], [12, 8, 13, 11, 14], [10, 15, 16, 19], [17, 20, 18]]
29: [[1, 5, 2], [3, 7, 9, 6], [14], [8, 4], [11, 10], [12, 13, 17, 19], [16, 18, 20, 15]]
30: [[1, 5, 2], [3, 7, 6], [10, 4], [12, 8], [13, 11, 9], [14], [16, 19, 17, 15], [18, 20]]
31: [[1, 5, 2, 3, 7, 11, 14, 8], [10, 4, 6, 15], [9, 12, 20, 13, 18, 19, 17, 16]]
32: [[1, 5, 2], [3, 7, 9], [6, 12, 14], [4, 13, 11, 8], [10, 15, 16, 18, 17, 19, 20]]
33: [[1, 5, 2, 3], [7, 14, 9], [6, 11, 4], [10, 8, 12], [13, 20, 17, 16, 18, 19, 15]]
34: [[1, 5, 2], [3, 7, 11], [6, 4, 8, 9, 12, 14, 15, 10, 13, 16, 19, 17, 18, 20]]
35: [[1, 5], [3, 7, 11, 9, 2], [6, 14], [8, 12, 10, 13, 18, 15, 17, 16, 19, 20, 4]]
36: [[1, 5, 2], [3, 7, 9], [6, 4, 10, 14, 12, 8, 11, 20, 13, 16, 19, 17, 18, 15]]
37: [[1, 5, 2], [3, 7], [12, 10, 4], [8, 13, 11, 14, 9, 6], [15, 17, 18, 16, 19, 20]]
38: [[1, 5, 2], [3, 7, 9, 6, 4], [10, 8, 11, 14, 13, 15, 12, 19, 17], [18, 20, 16]]
39: [[1, 5, 2, 3], [7], [10, 11, 9, 6], [12, 14], [8, 13], [17, 19], [16, 18, 15], [20, 4]]
40: [[1, 5, 2, 3], [7, 9, 14], [10, 6, 13, 15, 8, 16, 11, 12, 19, 17, 4], [18, 20]]
41: [[1, 5, 2, 3], [7, 11, 14, 12, 6, 4, 8, 10, 13, 9, 15, 20, 19], [17, 18, 16]]
