0: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
1: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
2: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
3: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
4: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
5: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
6: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
7: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
8: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
9: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
10: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
11: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
12: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
13: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
14: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
15: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
16: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
17: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
18: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
19: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
20: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
21: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
22: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
23: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
24: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
25: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
26: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
27: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
28: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
29: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
30: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
31: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
32: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
33: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
34: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
35: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
36: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
37: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
38: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
39: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
40: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
41: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
42: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
43: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
44: [[3, 16, 22], [2, 1, 13], [6, 5, 4], [15, 12, 8, 9], [7, 10, 11, 14], [19, 17, 18, 20], [23, 21, 24]]
