0: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 16, 17], [20, 21, 26, 25, 27, 29]]
1: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
2: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 13, 15, 17, 16, 10], [20, 21, 26, 25, 27, 29]]
3: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
4: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
5: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 13, 15, 16, 17], [20, 21, 26, 25, 27, 29]]
6: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 15, 13, 17, 16, 10], [20, 21, 26, 25, 27, 29]]
7: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 13, 15, 17, 16], [20, 21, 26, 25, 27, 29]]
8: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 13, 15, 17, 16], [20, 21, 26, 25, 27, 29]]
9: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 13, 15, 16, 17], [20, 21, 26, 25, 27, 29]]
10: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 15, 10, 13, 16, 17], [20, 21, 26, 25, 27, 29]]
11: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 15, 10, 13, 16, 17], [20, 21, 26, 25, 27, 29]]
12: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
13: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 13, 15, 17, 16], [20, 21, 26, 25, 27, 29]]
14: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
15: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
16: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
17: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
18: [[28, 5, 1, 2, 3, 14], [23, 19, 9, 22, 7], [6, 4, 24, 8, 18, 12], [11, 10, 15, 13, 17, 16], [20, 21, 26, 25, 27, 29]]
