0: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29, 14], [1, 23, 7, 9, 17, 12, 22], [28, 24], [18, 19, 2, 16, 10]]
1: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29, 14], [1, 23, 7, 9, 17, 12, 22], [28, 24], [18, 19, 10, 2, 16]]
2: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29, 14], [1, 23], [7, 9, 17, 12, 22], [28, 24, 18, 19, 10, 2, 16]]
3: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14, 1], [23, 7, 9], [17, 12, 22], [28, 24], [18, 2, 16, 19, 10]]
4: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29, 14], [1, 23, 7, 9], [17, 12, 22, 28, 24, 18, 19, 10, 16, 2]]
5: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26, 29, 14, 1], [23, 7, 9, 17, 12, 22, 28, 24, 18, 2, 16, 19, 10]]
6: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29], [14, 1], [23, 7, 9, 17, 12], [22, 28, 24, 18, 2, 16, 19, 10]]
7: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29], [14, 1], [23, 7], [9, 17], [12, 22], [28, 24, 18, 2], [16, 19], [10]]
8: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29, 14], [1, 23], [7, 9, 17], [12, 22], [28, 24, 18, 19], [10, 2, 16]]
9: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14, 1], [23, 7], [9, 17, 12], [22, 28, 24, 18, 2], [16, 19, 10]]
10: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14, 1, 23, 7], [9, 17, 12], [22, 28, 24, 18, 2, 16, 19, 10]]
11: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14, 1, 23], [7, 9, 17], [12], [22, 28, 24, 18, 2, 16, 19, 10]]
12: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28], [24, 18, 19, 10, 2, 16]]
13: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14], [1, 23], [7, 9, 17], [12, 22], [28, 24], [18, 19], [10, 2, 16]]
14: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 1, 23, 7, 9, 17, 14], [28, 24, 18, 19, 16, 2, 12, 22], [10]]
15: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29], [14, 1, 23, 7, 9], [17, 12, 22], [28, 24, 18, 2, 16, 19], [10]]
16: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3, 20, 26], [29, 14, 1], [23, 7], [9, 17, 12, 22, 28, 24], [18, 2, 16, 19, 10]]
17: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3, 20, 26], [29, 14, 1, 23, 7, 9, 17, 12, 22, 16, 2, 18, 24, 28, 19, 10]]
18: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3, 20, 26, 29], [14, 1, 23, 7, 9, 17], [12, 22, 28, 24, 16, 2, 18, 19, 10]]
19: [[25, 4, 8], [6, 5], [11, 13], [15, 27, 21], [3, 20], [26, 29], [14, 1, 23], [7, 9, 17], [12, 22], [28, 24, 18, 19, 10, 16, 2]]
20: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14, 1, 23], [7, 17, 9], [12], [22, 28, 24, 18, 19], [10, 16, 2]]
21: [[25, 4, 8], [6, 5], [11, 13], [15, 27, 21], [3, 20], [26, 29, 14, 1, 23], [7, 9, 17, 12], [22, 28, 24], [18, 19, 10, 2, 16]]
22: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3], [20, 26], [29, 14, 1], [23, 7, 9, 17, 12, 22], [16, 2, 18, 24, 28, 19, 10]]
23: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14], [1, 23, 7], [9, 17, 12], [22, 28, 24, 18, 19], [10, 2, 16]]
24: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20, 26], [29, 14], [1, 23, 7, 9], [17, 12, 22, 28, 24], [18, 19], [10, 2, 16]]
25: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3], [20, 26, 29, 14, 1], [23, 7, 9, 17, 12, 22, 16, 2, 18, 24, 28, 19, 10]]
26: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3], [20, 26, 29, 14, 1], [23, 7, 9, 17, 12, 22, 28, 24, 18, 19, 10, 16, 2]]
27: [[25, 4, 8], [6, 5], [11, 13, 15, 27, 21], [3, 20, 26, 29, 14], [1, 23, 7, 9], [17, 12, 22, 28, 24, 18, 19, 10, 2, 16]]
28: [[25, 4, 8], [6, 5, 11], [13, 15], [27, 21], [3, 20, 26], [29, 14, 1], [23, 7], [9, 17, 12], [22, 28, 24, 18], [2, 16, 19], [10]]
29: [[25, 4, 8], [6, 5], [11, 13, 15, 27], [21, 3, 20, 26, 29], [14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 19, 10, 2, 16]]
30: [[25, 4, 8], [6, 5], [11, 13], [15, 27, 21], [3, 20], [26, 29], [14, 1], [23, 7, 9], [17, 28, 24, 18, 2], [12, 16, 22, 19, 10]]
31: [[25, 4, 8], [6, 5, 11, 13, 15], [27, 21, 3, 20, 26], [29, 14, 1, 23], [7, 9, 17, 12, 22], [28, 24, 18, 19, 10, 16, 2]]
