0: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 9, 22, 14, 13, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
1: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
2: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 13, 22, 9, 16, 14, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
3: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 13, 22, 9, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
4: [[5, 2, 6, 7, 19, 1, 10], [11, 4, 3, 8, 12], [15, 9, 22, 13, 18, 17, 16, 14], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
5: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 13, 22, 9, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
6: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
7: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 16, 18, 17], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
8: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
9: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 15], [12, 9, 22, 13, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
10: [[5, 2, 6, 7, 19, 1, 10], [11, 4, 3, 8, 15], [14, 9, 22, 13, 18, 16, 17, 12], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
11: [[5, 2, 6, 7, 10, 19, 1, 14], [4, 3, 8, 12, 15], [9, 22, 13, 11, 16, 18, 17], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
12: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 14], [12, 9, 22, 15, 13, 17, 16, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
13: [[5, 2, 6, 7, 10, 19, 1, 15], [4, 3, 8, 12, 14], [9, 22, 13, 11, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
14: [[5, 2, 6, 7, 19, 1, 10], [11, 4, 3, 8, 12, 14, 9, 22], [13, 15, 16, 18, 17], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
15: [[5, 2, 6, 7, 10, 17, 1], [11, 4, 3, 8, 12], [15, 13, 22, 9, 14, 18, 19, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
16: [[5, 2, 6, 7, 10, 17, 1], [11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 19, 16, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
17: [[5, 2, 6, 7, 19, 1, 11, 10], [4, 3, 8, 15, 12], [9, 22, 13, 17, 16, 18, 14], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
18: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [13, 22, 9, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
19: [[5, 2, 6, 7, 11, 19, 1, 10], [4, 3, 8, 12, 15], [9, 22, 14, 13, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
20: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
21: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
22: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
23: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [13, 22, 9, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
24: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
25: [[5, 2, 6, 7, 11, 19, 1, 10], [4, 3, 8, 12, 15], [9, 22, 13, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
26: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 15], [9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
27: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12, 15], [9, 22, 13, 14, 17, 16, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
28: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12, 15], [9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
29: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
30: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 18, 16, 17], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
31: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12], [15, 9, 22, 13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
32: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12], [13, 9, 22, 14, 15, 16, 18, 17], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
33: [[5, 2, 6, 7, 18, 1, 10], [11, 4, 3, 8, 12], [13, 9, 22, 15, 14, 16, 17, 19], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
34: [[5, 2, 6, 7, 10, 17, 1, 11], [4, 3, 8, 12, 15], [13, 22, 9, 14, 18, 16, 19], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
35: [[5, 2, 6, 7, 10], [17, 1, 11, 4, 3, 8, 12], [15, 13, 22, 9, 14, 18, 19, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
36: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12, 15, 9, 22], [13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
37: [[5, 2, 6, 7, 10, 19, 1], [11, 4, 3, 8, 12, 15, 9, 22], [13, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
38: [[5, 2, 6, 7, 19, 1, 11, 10], [4, 3, 8, 13, 12], [9, 22, 15, 16, 17, 18, 14], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
39: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 13], [9, 22, 15, 14, 17, 16, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
40: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 13], [9, 22, 14, 15, 16, 17, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
41: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 13], [9, 22, 15, 14, 18, 17, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
42: [[5, 2, 6, 7, 10, 19, 1, 11], [4, 3, 8, 12, 13, 9, 22], [15, 14, 17, 16, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
43: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12, 15], [13, 22, 9, 16, 17], [18, 14, 28, 20, 23, 25, 24], [21, 27, 29, 26]]
44: [[5, 2, 6, 7, 18], [3, 10, 11, 4, 1, 8, 12, 15], [9, 22, 13, 14, 16, 17, 19], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
45: [[5, 2, 6, 7, 10, 17, 1, 11], [4, 3, 8, 13, 15], [9, 22, 12, 14, 18, 16, 19], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
46: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 12, 13], [9, 22, 15, 14, 16, 18, 17], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
47: [[5, 2, 6, 7, 3, 17, 10], [11, 4, 1, 8, 12], [15, 9, 22, 13, 14, 18, 16, 19], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
48: [[5, 2, 6, 7, 11, 17, 1], [10, 4, 3, 8, 12], [15, 9, 22, 13, 14, 18, 19, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
49: [[5, 2, 6, 7, 11, 17, 1], [10, 4, 3, 8, 15], [14, 9, 22, 13, 12, 18, 19, 16], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
50: [[5, 2, 6, 7, 19, 1, 11], [10, 4, 3, 8, 14], [15, 9, 22, 13, 17, 16, 18, 12], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
51: [[5, 2, 6, 7, 18, 3, 10], [11, 4, 1, 8, 12], [15, 9, 22, 13, 17, 19, 16, 14], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
52: [[5, 2, 6, 7, 11], [19, 1, 10, 4, 3, 8, 12], [15, 9, 22, 13, 14, 17, 16, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
53: [[5, 2, 6, 7, 11], [17, 1, 10, 4, 3, 8, 12], [15, 9, 22, 13, 14, 16, 19, 18], [28, 20, 23, 25, 24], [21, 27, 29, 26]]
54: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 15, 14], [9, 22, 13, 12, 18], [17, 16, 28, 20, 23, 25, 24], [21, 27, 29, 26]]
55: [[5, 2, 6, 7, 10], [19, 1, 11, 4, 3, 8, 15, 14], [9, 22, 12, 13, 18], [17, 16, 28, 20, 23, 25, 24], [21, 27, 29, 26]]
56: [[5, 2, 6, 7, 10], [17, 1, 11, 4, 3, 8, 12], [15, 9, 22, 13, 14], [19, 16, 18, 28, 20, 23, 25, 24], [21, 27, 29, 26]]
57: [[5, 2, 6, 7, 10], [17, 1, 11, 4, 3, 8, 12], [15, 9, 22, 13, 14], [16, 19, 18, 28, 20, 23, 25, 24], [21, 27, 29, 26]]
