0: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
1: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
2: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
3: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
4: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
5: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
6: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
7: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
8: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
9: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
10: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
11: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
12: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
13: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
14: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
15: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
16: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
17: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
18: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
19: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
20: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
21: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
22: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
23: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
24: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
25: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
26: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
27: [[9, 10, 1, 4, 2], [12, 13, 7], [8, 11, 6], [5, 3]]
