0: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
1: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
2: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
3: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
4: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
5: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
6: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
7: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
8: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
9: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
10: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
11: [[4, 1, 3, 10], [2, 5, 12, 13], [6, 7, 11, 9, 8]]
12: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
13: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
14: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
15: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
16: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
17: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
18: [[4, 1, 3, 10], [2, 5, 12, 13, 6], [7, 11, 9, 8]]
19: [[4, 1, 3, 10, 2], [5, 12, 13, 6, 7], [11, 9, 8]]
20: [[4, 1, 3, 10, 2], [5, 12, 13, 6], [7, 11, 9, 8]]
21: [[4, 1, 3, 10, 2], [5, 12, 13, 6], [7, 11, 9, 8]]
22: [[4, 1, 3, 10, 2], [5, 12, 13, 6], [7, 11, 9, 8]]
23: [[4, 1, 3, 10, 2], [5, 12, 13, 6], [7, 11, 9, 8]]
24: [[4, 1, 3, 10, 2], [5, 12, 13, 6], [7, 11, 9, 8]]
25: [[4, 1, 3, 10, 2], [5, 12, 13, 6], [7, 11, 9, 8]]
