0: [[22, 4], [3, 16], [2, 6, 9, 1, 13], [14, 7, 10], [8, 15, 5], [12, 11, 18, 17, 19, 20], [21, 23, 24]]
1: [[22], [3, 1, 2, 4, 16], [6, 9], [14, 7, 10], [8, 15, 13], [12, 11, 18], [17, 19, 20, 5], [21, 23, 24]]
2: [[5, 22, 4], [16, 3], [1, 2, 6, 9], [14, 7, 10], [8, 15, 13], [12, 11, 18, 17, 19, 20, 21], [23, 24]]
3: [[5, 22, 4], [16, 3, 1], [2], [6, 9, 14], [7, 10], [8, 15, 13, 12, 11, 18], [17, 19, 20], [21, 23, 24]]
4: [[22], [3, 1, 2], [6, 9, 5, 4], [14, 7, 10], [8, 15, 13, 12], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
5: [[5, 22, 4], [16, 3], [1], [2, 6, 9], [14, 7, 10], [8, 15, 13, 12], [11, 18, 17, 19], [20], [21, 23, 24]]
6: [[22], [3, 1, 4, 16], [2, 6, 9], [14, 7, 10], [8, 15, 13], [12, 11, 18], [17, 19, 20, 5], [21, 23, 24]]
7: [[22], [3, 1, 2, 16], [6, 9, 5, 4], [14, 7, 10], [8, 15, 13], [12, 11, 18, 17], [19, 20], [21, 23, 24]]
8: [[5, 22, 4], [16, 3], [1, 2], [6, 9, 14, 7], [10, 8, 15, 13, 12], [11, 18, 17], [19, 20], [21, 23, 24]]
9: [[5, 22, 4], [16, 3, 1], [2, 6, 9], [14, 7], [10], [8, 15, 13], [12, 11, 18], [17, 19, 20], [21, 23, 24]]
10: [[5, 22, 4], [16, 3], [1, 2, 6], [9, 14, 7], [10], [8, 15, 13], [12, 11, 18], [17, 19, 20], [21, 23, 24]]
11: [[22], [3, 1], [2, 6, 9, 5, 4], [14, 7, 10], [8, 15, 13, 12], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
12: [[5, 22, 4], [16, 3], [1, 2, 6], [9, 14, 7], [10, 8, 15], [13, 12, 11, 18], [17, 19, 20], [21, 23, 24]]
13: [[5, 22, 4], [16, 3], [1, 2], [6, 9, 14], [7, 10, 8], [15, 13], [12, 11, 18], [17, 19, 20], [21, 23, 24]]
14: [[22], [3, 1, 2, 4], [6, 9], [14, 7, 10], [8, 5], [15, 13, 12], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
15: [[5, 22, 4], [16], [3, 1, 2], [6, 9], [14, 7, 10, 8, 15, 13], [12, 11, 18], [17, 19, 20], [21, 23, 24]]
16: [[5, 22, 4], [16, 3], [1, 2, 6], [9, 14, 7], [10, 8, 15], [13], [12, 11, 18], [17, 19, 20], [21, 23, 24]]
17: [[5, 22, 4], [16, 3, 1], [2, 6, 9], [14, 7], [10], [8, 15, 13, 12], [11, 18, 17], [19, 20], [21, 23, 24]]
18: [[22], [3, 1, 2], [6, 9, 14], [7, 10, 8], [15, 13, 12, 5, 4], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
19: [[22], [3, 1, 2, 6, 4], [9, 14], [7, 10], [8, 15], [13, 12, 5], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
20: [[22], [3, 1, 2], [6, 9, 14, 7], [10, 8, 5], [15, 13, 12, 4], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
21: [[22], [3, 1, 16], [2, 6, 5, 4], [9, 14, 7, 10, 8, 15, 13, 12], [11, 18, 17], [19, 20], [21, 23, 24]]
22: [[5, 22, 4], [16, 3], [1, 2, 6, 9], [14, 7], [10, 8, 15, 13, 12, 11], [18, 17, 19], [20, 21, 23, 24]]
23: [[22], [3, 1, 2, 6, 4], [9, 14], [7, 10, 8], [15, 13, 12], [11, 18, 16], [17, 19, 20, 5], [21, 23, 24]]
24: [[5, 22, 4], [16, 3], [1], [2, 6], [9, 14], [7, 10, 8, 15, 13], [12, 11], [18, 17, 19, 20], [21, 23, 24]]
25: [[5, 22, 4], [16, 3], [1, 2], [6, 9, 14, 7], [10, 8, 15], [13, 12, 11], [18, 17, 19], [20, 21, 23, 24]]
26: [[22], [3, 1, 2, 4, 16], [6, 9], [14, 7, 10], [8, 15, 13], [12, 11, 18], [17, 19, 5], [20, 21, 23, 24]]
27: [[5, 22, 4], [16, 3, 1, 2], [6, 9, 14, 7], [10, 8], [15, 13, 12], [11, 18], [17, 19, 20, 21], [23, 24]]
28: [[22], [3], [1, 2, 6], [9, 14], [7, 10, 8], [15, 13, 12, 5, 4], [11, 18, 16], [17, 19, 20], [21, 23, 24]]
29: [[22], [3, 1, 4, 16], [2, 6, 9], [14, 7, 10], [8, 15, 5], [13, 12, 11], [18, 17, 19], [20, 21, 23, 24]]
30: [[5, 22, 4], [16, 3], [1, 2], [6, 9, 14], [7, 10, 8], [15], [13, 12, 11], [18, 17, 19], [20, 21, 23, 24]]
31: [[5, 22, 4], [16, 3], [1, 2, 6], [9, 14], [7, 10], [8, 15], [13, 12, 11, 18], [17, 19], [20, 21], [23, 24]]
32: [[22], [3, 1, 4, 16], [2, 6], [9, 14, 7], [10, 8, 5], [15, 13, 12], [11, 18, 17], [19, 20], [21, 23, 24]]
33: [[22], [3, 16], [1, 2], [6, 9, 14, 4], [7, 10, 8], [15, 13, 12, 11], [18, 17, 19, 5], [20, 21, 23, 24]]
34: [[22], [3, 1, 4, 16], [2], [6, 9, 14, 7], [10, 8, 5], [15, 13], [12, 11, 18], [17, 19, 20, 21], [23, 24]]
35: [[5, 22, 4], [16, 3, 1], [2, 6, 9, 14, 7, 10], [8, 15, 13], [12, 11, 18, 17, 19, 20, 21, 23, 24]]
36: [[5, 22, 4], [16, 3], [1, 2, 6, 9], [14, 7], [10, 8], [15, 13, 12], [11, 18, 17], [19, 20, 21, 23, 24]]
37: [[5, 22, 4], [3, 1, 16], [2, 6, 9], [14, 7, 10], [8, 15, 13, 12, 11, 18, 17, 19, 20, 21, 23, 24]]
38: [[22], [3, 1, 4, 16], [2, 6], [9, 14], [7, 10], [8, 15, 5], [13, 12, 11], [18, 17, 19], [20, 21, 23, 24]]
