0: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13, 9], [16, 14, 6, 4, 15], [19, 18, 20, 17]]
1: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13, 9], [16, 14, 6, 4, 15], [19, 18, 20, 17]]
2: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13, 9], [16, 14, 6, 4, 15], [19, 18, 20, 17]]
3: [[12, 11], [3, 1], [8, 2, 5, 7, 10], [13, 4, 6, 14, 9, 15], [18, 16, 19, 17, 20]]
4: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 14, 6, 4, 9], [16, 15, 18, 17, 20, 19]]
5: [[12, 11], [3, 1], [8, 2, 5, 7, 10], [13, 4, 6, 14], [9, 15, 17, 19, 18, 20], [16]]
6: [[12, 11], [3, 1, 8, 2], [5, 7, 10], [13, 16, 14, 6, 4, 15], [19, 20], [18, 17, 9]]
7: [[12, 11, 3, 1], [8, 2, 5, 7, 10], [13, 14, 6, 4], [15, 17, 18, 20, 19, 16, 9]]
8: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 15, 14, 6, 9], [16, 17, 20, 18, 19, 4]]
9: [[12, 11], [3, 1], [8, 2], [5, 7, 10], [13, 4], [14, 6], [9, 15, 17, 18], [16, 20, 19]]
10: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13, 15, 6, 14, 9, 16, 17, 19, 4, 20, 18]]
11: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13], [9, 16, 14, 4, 6, 15, 19, 18, 17, 20]]
12: [[12, 11], [3, 1, 8], [2, 5], [7, 10], [13, 14, 6, 4, 9], [17, 19], [18, 20, 16, 15]]
13: [[12, 11], [3, 1], [8, 2, 5], [7, 10], [13, 4], [14, 6, 9], [16, 19, 18, 15], [20, 17]]
14: [[12, 11], [3, 1], [8, 2], [5, 7], [10, 13, 16, 6], [14, 4, 9], [18, 20, 17, 19, 15]]
15: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13, 14], [4, 6, 15, 16, 19, 9, 17, 20, 18]]
16: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 16, 4, 6, 9], [19, 15], [14, 17, 20, 18]]
17: [[12, 11], [3, 1], [8, 2, 5], [7, 10, 13], [16, 6], [4, 9, 14, 17, 15, 19, 18, 20]]
18: [[12, 11], [3, 1, 8, 2], [5, 7], [10, 13, 16, 6], [14, 18, 19, 17, 20, 4, 15, 9]]
19: [[12, 11], [3, 1, 8, 2], [5, 7, 10, 13], [16, 14, 6, 4, 9], [20, 18, 17, 15], [19]]
20: [[12, 11], [3, 1, 8], [2, 5, 7, 10, 13, 4], [14, 17, 6, 19, 9], [16, 20, 18, 15]]
21: [[12, 11], [3, 1, 8], [2, 5, 7, 10, 13, 4], [14, 17, 6, 19, 9], [16, 18, 20, 15]]
22: [[12, 11], [3, 1, 8], [2, 5, 7, 10], [13, 15, 14, 17, 19, 18, 20, 6], [16, 4, 9]]
23: [[12, 11], [3, 1, 8, 2], [5, 7], [10, 13, 6], [14, 18, 4], [16, 17, 20, 19, 15, 9]]
24: [[12, 11], [3, 1], [8, 2], [5, 7, 10, 13], [14, 6], [16, 19, 20, 4, 15, 9], [18, 17]]
25: [[12, 11], [3, 1, 8, 2], [5, 7, 10, 13], [9, 16], [4, 6], [14, 15], [18, 17], [20, 19]]
26: [[12, 11], [3, 1, 8], [2, 5, 7, 10, 13, 4], [14, 6, 18, 19, 9], [16, 20, 17, 15]]
27: [[12, 11], [3, 1, 8], [2, 5], [7, 10], [13, 4, 14], [6, 9, 15, 19], [16, 18], [17, 20]]
28: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 16], [6, 14, 17], [9, 4, 15], [20, 18, 19]]
29: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13], [4, 6], [14, 9, 15, 19], [18, 20, 16, 17]]
30: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 14, 15, 6], [9, 20], [19, 16, 18, 17, 4]]
31: [[12, 11, 3], [1, 8], [2, 5, 7], [10, 13], [16, 14, 6], [18, 17, 20, 19, 4, 15, 9]]
32: [[12, 11, 3], [1, 8, 2], [5, 7, 10, 13, 6, 9, 14, 15, 17, 16, 18, 4], [19, 20]]
33: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 16], [14, 6, 9, 18, 4, 15, 19, 20], [17]]
34: [[12, 11], [3, 1], [8, 2, 5, 7], [10, 13, 4, 6], [14, 15], [9, 19, 18], [20, 17, 16]]
35: [[12, 11], [3, 1], [8, 2, 5, 7], [10, 13, 14], [16, 6, 4, 19, 18], [20, 9, 17, 15]]
36: [[12, 11], [3, 1], [8, 2], [5, 7], [10, 13], [14, 6, 18], [4, 9, 20], [17, 15, 16, 19]]
37: [[12, 11], [3, 1, 8, 2, 5], [7, 10, 13, 4, 6, 14, 9, 15, 17, 16, 18, 19, 20]]
38: [[12, 11, 3], [1, 8, 2], [5, 7, 10, 13, 14, 4, 6, 9, 15, 20, 19, 18, 17, 16]]
39: [[12, 11, 3], [1, 8, 2], [5, 7], [10, 13, 17], [14, 6], [4, 9, 15, 18], [19, 20, 16]]
40: [[12, 11], [3, 1, 8], [2, 5, 7], [10, 13, 14], [15, 6, 4], [19, 18, 9, 16, 20], [17]]
41: [[12, 11, 3, 1, 8, 2], [5, 7, 10, 13, 14, 16], [6, 9, 4, 17, 20, 15, 18, 19]]
