It No., Best MQ, No clusters, max clus, min clus
1,2.0221116148571308,11,6,2
2,1.7064745284355953,12,5,1
3,1.8547046356300556,10,6,2
4,1.7707762707762709,7,11,1
5,2.0917835804769,10,6,1
6,1.7670807453416149,6,19,1
7,1.7902902051508862,8,13,2
8,2.030635824443874,11,3,2
9,2.0041256489821757,9,6,1
10,2.0572240300953175,7,13,1
11,1.6625487188867472,4,20,2
12,2.020377903767392,10,4,2
13,1.8831514389005237,7,9,2
14,1.9001011088125423,6,13,2
15,1.8203634126898502,9,8,1
16,2.1032593137856295,10,11,1
17,1.8905165869562153,9,5,2
18,1.9528208891211984,10,5,2
19,1.7872479640104229,9,5,1
20,2.1002029985080832,7,15,1
21,2.0558199186826047,7,7,2
22,1.84730784182839,10,6,1
23,1.9445427588284732,9,5,2
24,1.8425766768661351,7,7,2
25,2.056805202312393,10,4,1
26,2.034808704032611,11,4,1
27,1.8414997378893982,7,10,1
28,1.7199738529229358,8,10,2
29,1.8118470236723723,7,7,1
30,1.8693885500908827,8,5,2
31,1.8448108597375206,9,6,1
