0: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [12, 13, 7, 2]]
1: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [12, 13, 7, 2]]
2: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [12, 13, 7, 2]]
3: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [13, 12, 2, 7]]
4: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [12, 13, 2, 7]]
5: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [12, 13, 2, 7]]
6: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [12, 13, 2, 7]]
7: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [13, 12, 2, 7]]
8: [[5, 1, 3], [10, 4, 8], [11, 9, 6, 2], [13, 12, 7]]
9: [[5, 1, 3], [10, 4, 8], [11, 9, 6, 2], [12, 13, 7]]
10: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [13, 2, 7], [12]]
11: [[5, 1, 3], [10, 4], [8, 11, 9], [6, 2], [13, 12, 7]]
12: [[5, 1, 3], [10, 4, 8, 11], [9, 6, 2], [13, 12, 7]]
13: [[5, 1, 3], [10, 4, 8, 11], [9, 6, 2], [7, 12, 13]]
14: [[5, 1, 3], [10, 4, 8, 11], [9, 6, 2], [13, 7, 12]]
15: [[5, 1, 3], [10, 4, 8], [11, 9, 6, 2, 13, 7, 12]]
16: [[5, 1, 3], [10, 4], [8, 11, 9], [6, 2, 12], [7, 13]]
17: [[5, 1, 10, 2, 3], [4, 8, 11], [9, 6], [13, 12, 7]]
18: [[5, 1, 10, 2, 3], [4, 8, 11], [9, 6], [12, 13, 7]]
19: [[5, 1, 10, 2, 3], [4, 8, 11], [9, 6], [12, 13, 7]]
20: [[5, 1, 3], [10, 8, 4, 11], [9, 6, 2, 13, 12, 7]]
21: [[5, 1, 3], [10, 4, 8, 11], [9, 6, 2, 13, 7, 12]]
22: [[5, 1, 3], [10, 8, 4], [11, 9, 2], [6, 12], [13, 7]]
23: [[5, 1, 3], [10, 4, 11], [9, 6, 12, 8, 2], [13, 7]]
24: [[5, 1], [3, 10, 4], [8, 11], [9, 6], [13, 12, 2, 7]]
25: [[5, 1, 3, 10], [4, 8, 11], [9, 6, 2, 12, 7, 13]]
26: [[5, 1], [3, 10, 4, 8, 11, 9, 6, 2, 13, 7], [12]]
27: [[5, 1], [3, 10, 4, 8, 11, 9, 6, 2, 7, 13], [12]]
