0: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
1: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
2: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
3: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
4: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
5: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
6: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
7: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
8: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
9: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
10: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
11: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
12: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
13: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
14: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
15: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
16: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
17: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
18: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
19: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
20: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
21: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
22: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
23: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
24: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
25: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
26: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
27: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
28: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
29: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
30: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
31: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
32: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
33: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
34: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
35: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
36: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
37: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
38: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
39: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
40: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
41: [[12, 13, 2, 5, 17, 9], [20, 14, 4], [1, 3, 11], [7, 10, 6, 8], [19, 16, 18, 15]]
