0: [[57, 11, 49], [3, 13, 6, 21], [56, 9, 59, 27, 26], [45, 28, 23, 22, 40, 55], [42, 20, 19, 51], [24, 12, 17], [7, 35, 1, 2], [14, 41, 4, 33], [8, 29, 16, 5, 15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [25, 31, 32, 37, 48], [36, 39, 50], [54], [60, 58]]
1: [[57, 11, 49], [3, 13, 6, 21], [56, 9, 59, 27, 26], [45, 28, 23, 22, 40, 55], [42, 20, 19, 51], [24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5, 15], [43, 10, 18], [34], [38, 44], [30, 47, 53, 25, 31, 32, 46, 52, 37, 48, 36, 39, 50, 54, 60, 58]]
2: [[57, 11, 49], [3, 13, 6, 21, 56], [9, 59, 27], [26, 45, 28, 23], [22, 40, 55, 42], [20, 19, 51], [24, 12, 17], [7, 2, 35], [1, 14, 41], [4, 33, 8, 29, 16, 15, 34, 5, 10, 18], [43, 38, 44, 30, 46], [52, 47, 53], [25, 31, 32, 37, 48, 36, 39, 50], [54, 60, 58]]
3: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [58, 31, 32, 37, 48, 36, 39, 50, 54, 60, 25]]
4: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [58, 31, 32, 37, 48, 36, 39, 50, 54, 60, 25]]
5: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [58, 31, 32, 37, 48, 36, 39, 50, 54, 60, 25]]
6: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [58, 31, 32, 37, 48, 36, 39, 50, 54, 60, 25]]
7: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [58, 31, 32, 37, 48, 36, 39, 50, 54, 60, 25]]
8: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53], [58, 31, 32, 37, 48], [36, 39, 50, 54, 60, 25]]
9: [[57, 11, 49], [3, 13, 6, 21], [56, 9, 59, 27], [26, 45], [28, 23, 22, 40], [55, 42], [20, 19, 51, 24, 12], [17, 7, 35, 2], [1, 14, 41, 4], [33, 8, 29, 16, 5, 15], [43, 34, 10, 18], [38, 44, 30], [46, 52, 47, 53], [25, 31, 32, 37, 48, 36, 39], [50, 54, 60, 58]]
10: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40, 55], [42, 20, 19, 51], [24, 12, 17], [7, 2, 35, 1], [14, 41], [4, 33, 8], [29, 16, 5, 15], [43, 10, 18, 34], [38, 44, 30, 46], [52, 47, 53, 58, 31], [32, 37, 48, 25], [39, 50, 54, 60, 36]]
11: [[57, 11, 49], [3, 13, 6, 21], [56, 9, 59, 27], [26, 45, 28, 23], [22, 40, 55], [42, 20, 19, 51], [24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33, 8, 29, 16, 5], [15, 43, 10, 18], [34, 38, 44, 30], [46, 52, 47, 53, 58, 31, 32, 37, 48, 36, 39], [50, 54, 60, 25]]
12: [[57, 11, 49], [3, 13, 21], [6, 56, 9], [59, 27, 26, 45], [28, 23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33, 8], [29, 16, 5, 15, 43, 10, 18, 34, 38, 44, 30], [46, 53, 47, 52, 25, 31, 32, 37, 48, 36, 39, 50, 54, 60, 58]]
13: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28], [23, 22, 40], [55, 42, 20, 19], [51, 24, 12, 17], [7, 2, 35, 1], [14, 41, 4, 33], [8, 29, 16, 5], [15, 43, 10, 18], [44, 30, 46, 52, 47], [53, 34, 38, 25], [31, 32, 37, 48, 36, 39], [50, 54, 60, 58]]
14: [[57, 11, 49], [3, 13, 21, 6], [56, 9, 59, 27], [26, 45, 28, 23], [22, 40, 55], [42, 20, 19, 51], [24, 12, 17], [7, 2, 35], [1, 14, 41, 4, 33, 8, 29, 16, 5, 15], [43, 10, 18, 34, 38], [30, 46, 52, 47, 53, 58, 31, 32, 36, 37, 48, 25, 39, 50], [54, 60, 44]]
