0: [[15, 8], [3, 22, 19, 4, 10], [11, 7, 16], [13, 2, 6, 1], [5, 14, 18, 20, 12, 17, 9], [21, 23, 24]]
1: [[15, 8], [3, 22, 19, 4, 10], [11, 7, 16], [13, 2, 6, 1], [5, 14, 18, 20, 12, 17, 9], [21, 23, 24]]
2: [[22, 19, 4], [10, 11, 7], [16, 13, 2, 3], [6, 1, 5, 14], [18, 20, 12, 17, 9, 15, 8], [21, 23, 24]]
3: [[22], [19, 4, 10], [11, 7, 16], [13, 2], [6, 1, 5, 3], [14, 18, 15, 8], [20, 12], [17, 9], [21, 23, 24]]
4: [[22], [19, 4, 10, 3], [11, 7, 16], [13, 2, 6], [1, 5, 14, 8], [18, 20, 12, 17, 9, 15], [21, 23, 24]]
5: [[22, 19, 4], [10, 11], [7, 16, 13], [2, 6, 1, 3], [5, 14, 18, 15, 8], [20, 12], [17, 9], [21, 23, 24]]
6: [[22, 19, 4], [10, 11], [7, 16, 3], [13, 2, 6], [1, 5], [14, 18, 20, 12, 15, 8], [17, 9], [21, 23, 24]]
7: [[22, 19], [4, 10, 3], [11, 7, 16], [13, 2, 6], [1, 5, 14, 8], [18, 20, 12, 15], [17, 9], [21, 23, 24]]
8: [[22, 19], [4, 10, 3], [11, 7, 16], [13, 2, 6], [1, 5], [14, 18, 15, 8], [20, 12, 17, 9], [21, 23, 24]]
9: [[22, 19, 4, 10, 11, 3], [7, 16], [13, 2, 6, 1], [5, 14], [18, 20, 15, 8], [12, 17, 9], [21, 23, 24]]
10: [[15, 8, 3, 22], [19, 4], [10, 11, 7, 16, 13, 2, 6, 1, 5, 14, 18, 20, 9, 12, 17], [21, 23, 24]]
11: [[22, 19, 4, 10, 3], [11, 7, 16], [13, 2, 6, 1], [5, 14, 18, 15, 8], [20, 12, 17], [9, 21], [23, 24]]
12: [[22, 19, 4], [10, 11], [7, 16, 13], [2, 6, 3], [1, 5], [14, 18, 15, 8], [20, 12], [17, 9], [21, 23, 24]]
13: [[22], [19, 4], [10, 11, 7], [16, 13], [2, 6, 1, 3], [5, 14, 18, 20, 8], [12, 17, 9, 15], [21, 23, 24]]
14: [[15, 8], [3, 22, 19, 4, 10], [11, 7, 16, 13], [2, 6, 1, 5, 14], [18, 20, 12, 17, 9, 21], [23, 24]]
15: [[22], [19, 4, 10, 3], [11, 7], [16, 13], [2, 6, 1, 5], [14, 18, 20, 12, 15, 8], [17, 9, 21], [23, 24]]
16: [[22, 19, 4, 10], [11, 7], [16, 13, 2], [6, 1, 3], [5, 14], [18, 20, 15, 8], [12, 17, 9, 21], [23, 24]]
17: [[22, 19, 4], [10, 11, 7], [16, 13, 2], [6, 1, 3], [5, 14, 18, 15, 8], [20, 12, 17], [9, 21], [23, 24]]
18: [[22], [19, 4], [10, 11], [7, 16, 13], [2, 6, 15, 3], [1, 5, 14, 8], [18, 20, 12, 17, 9], [21, 23, 24]]
19: [[22], [19, 4], [10, 11], [7, 16, 13], [2, 6, 1, 3], [5, 14, 18, 20, 12, 15, 8], [17, 9, 21], [23, 24]]
20: [[22], [19, 4], [10, 11, 7, 16, 3], [13, 2, 6, 1], [5, 14, 18, 20, 12, 17, 9, 15, 8], [21, 23], [24]]
21: [[22], [19, 4], [10, 11, 7], [16, 13], [2, 6, 1, 3], [5, 14, 18, 15, 8], [20, 12, 17], [9, 21], [23, 24]]
22: [[22], [19, 4], [10, 11, 7, 16], [13, 2], [6, 1, 5, 3], [14, 18, 15, 8], [20, 12, 17], [9, 21, 23, 24]]
23: [[22], [19, 4], [10, 11, 7], [16, 13], [2, 6, 1, 5, 14], [18, 20, 15, 8], [12, 17, 3], [9, 21, 23, 24]]
24: [[22, 8], [19, 4], [10, 11, 7], [16, 13, 2, 3], [6, 1, 5], [14, 18, 20, 12, 17, 15], [9, 21, 23, 24]]
25: [[22, 19], [4, 10], [11, 7], [16, 13, 2, 6, 3], [1, 5, 14, 18, 8], [20, 12, 17, 15], [9, 21, 23, 24]]
26: [[22, 19, 4], [10, 11, 7, 16, 13, 3], [2, 6], [1, 5, 14, 18, 20, 8], [12, 17, 15], [9, 21], [23, 24]]
