0: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8], [12, 22, 19, 16, 20, 17], [21, 24, 23]]
1: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
2: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
3: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
4: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8, 12, 22], [19, 16, 20, 17], [21, 24, 23]]
5: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
6: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
7: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
8: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
9: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
10: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
11: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
12: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
13: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
14: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
15: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
16: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
17: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
18: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
19: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
20: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
21: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
22: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
23: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
24: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
25: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
