0: [[2, 5, 1, 10, 3, 8, 7], [14, 4, 6], [13, 11, 12, 9], [15, 16], [19, 18, 17, 20]]
1: [[2, 5, 1, 10, 3, 8, 7], [14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
2: [[2, 5, 1, 10, 3, 8, 7], [14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
3: [[2, 5, 1, 10, 3, 8, 7], [14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
4: [[2, 5, 1, 10, 3, 8, 7], [14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
5: [[2, 5, 1, 10, 3, 8, 7], [14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
6: [[2, 5, 1, 10, 3, 8], [7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
7: [[2, 5, 1, 10, 3, 8], [7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
8: [[2, 5, 1, 10, 3, 8, 7], [14, 13, 4, 6], [9, 11, 12], [15, 16], [19, 18, 17, 20]]
9: [[2, 5, 1, 10], [3, 8, 7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
10: [[2, 5, 1, 10], [3, 8, 7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
11: [[2, 5, 1], [10, 3, 8, 7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
12: [[2, 5, 1], [10, 3, 8, 7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
13: [[5, 1, 2, 10], [3, 8], [7, 14, 4, 6, 13], [9, 11, 12, 15, 16], [19, 18, 17, 20]]
14: [[1, 10, 3, 8, 2, 5], [7, 14, 4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
15: [[1, 10, 3, 8, 2, 5], [7, 14, 4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
16: [[1, 10, 3, 8, 2, 5], [7, 14, 4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
17: [[1, 10, 3, 8, 2, 5], [7, 14, 4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
18: [[2, 5, 1, 10, 3, 8, 7, 14], [4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
19: [[2, 5, 1, 10, 8, 3], [7, 14, 6, 4], [13, 9], [11, 12, 15, 16], [19, 18, 17, 20]]
20: [[1, 10, 3, 8, 2], [7, 14, 4, 5], [6, 13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
21: [[1, 10, 3, 8, 2], [7, 14, 4, 5], [6, 13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
22: [[1, 10, 3, 8, 2], [7, 14, 4, 5], [6, 13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
23: [[1, 10, 3, 8, 2], [7, 14, 4, 5], [6, 13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
24: [[2, 5, 1, 10, 3], [8, 7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
25: [[2, 5, 1, 10, 3], [8, 7, 14, 4, 6], [13, 9, 11, 12], [15, 16], [19, 18, 17, 20]]
26: [[2, 5, 1], [10, 3, 8, 7], [14, 4], [6, 13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
27: [[2, 5, 1, 10], [3, 8, 7, 14, 6], [13, 9, 11, 12, 4], [15, 16], [19, 18, 17, 20]]
28: [[1, 10, 2, 5], [3, 8, 7, 14, 4, 6, 13], [9, 11, 12, 15, 16], [19, 18, 17, 20]]
29: [[1, 10, 3, 8, 7, 2, 5], [14, 4, 6], [13, 9, 11, 12, 15, 16, 19], [18, 17, 20]]
30: [[2, 5, 1, 10, 8, 3], [7, 14, 6, 4], [13, 9], [11, 12, 15], [16, 19, 18, 17, 20]]
31: [[2, 5], [1, 10, 3, 8], [7, 14, 13, 9, 11, 4, 6], [12, 15, 16], [19, 18, 17, 20]]
32: [[2, 5, 1, 10], [3, 8, 7], [14, 13, 9, 11, 12, 4, 6], [15, 16], [19, 18, 17, 20]]
33: [[1, 10, 3, 8, 7, 2, 5], [14, 4, 6, 13], [9, 11, 12, 15, 16, 19], [18, 17, 20]]
34: [[2, 5, 1], [10, 3, 8, 7, 14], [4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
35: [[5, 1, 10, 8, 7, 2, 3], [14, 4], [6, 13], [9, 11, 12, 15], [16, 19, 18, 17, 20]]
36: [[2, 5, 1, 10], [3, 8, 7, 14], [4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
37: [[2, 5, 1, 10], [3, 8, 7, 14], [4, 6], [13, 9, 11, 12, 15, 16], [19, 18, 17, 20]]
38: [[2, 5, 1, 10, 3, 8], [7, 14, 4, 6], [13, 9, 11, 12, 15], [16, 19], [18, 17, 20]]
39: [[1, 10, 3, 8, 2], [7, 14, 4, 5], [6, 13, 9, 11, 12, 15, 16, 19], [18, 17, 20]]
40: [[2, 5, 1, 10], [3, 8, 7, 14, 6], [13, 9, 11, 12, 15, 4], [16, 19], [18, 17, 20]]
41: [[2, 5, 1, 10, 3, 8, 7, 14], [13, 4, 6], [9, 11, 12, 15], [16, 19], [18, 17, 20]]
