It No., Best MQ, No clusters, max clus, min clus
1,1.8996073391875492,5,10,2
2,2.047153776661973,6,8,3
3,1.184098228663446,3,10,9
4,1.9521352192083898,9,6,2
5,1.778347344467684,6,7,4
6,2.086324848425232,9,5,2
7,1.7245358719042927,6,8,2
8,2.014300722127893,8,8,1
9,1.2703703703703704,4,8,6
10,1.9396032040959577,5,13,3
11,1.932967032967033,6,7,3
12,2.028994828672931,6,9,2
13,1.4169914567581587,4,11,4
14,1.6211111171526809,4,9,4
15,1.8290598290598292,5,12,2
16,1.9604653449553031,6,10,2
17,2.1082411754911754,6,10,2
18,1.7510538718423447,7,11,2
19,1.835444781996506,9,5,1
20,1.9241172488713472,8,6,2
21,1.8859979447076223,6,7,3
22,1.6382755813455263,5,8,3
23,1.8764430262237988,7,8,1
24,1.9314985014985016,6,7,3
25,1.2315614114796305,3,10,9
26,1.400588672807194,5,7,5
27,2.0039396859588456,8,6,2
28,2.085649246051907,7,7,2
29,1.7901291690765375,6,7,2
30,1.9122198948005398,6,7,2
31,1.2063077989878717,3,10,9
