0: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12, 13, 9], [16, 6, 15], [18, 17, 19, 20]]
1: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12, 13, 9], [16, 6, 15], [18, 17, 19, 20]]
2: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12, 13, 9], [16, 6, 15], [18, 17, 19, 20]]
3: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12, 13], [16, 9, 6, 15], [18, 17, 19, 20]]
4: [[3, 1], [14, 4], [2, 7], [5, 10, 8], [11, 12, 13, 9], [16, 6, 15], [18, 17, 19, 20]]
5: [[3, 1], [14, 4], [2, 7, 5], [10, 8, 11], [12, 13, 9], [16, 6, 15], [18, 17, 19, 20]]
6: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12, 13], [16, 18, 9, 6, 15], [17, 19, 20]]
7: [[3, 1], [14, 2, 4, 6], [7, 5], [10, 8], [11, 12], [13, 9], [16, 18, 15], [17, 19, 20]]
8: [[3, 1, 14], [2, 7, 5, 4], [10, 8], [11, 12], [13, 9], [16, 6, 15], [18, 17, 19, 20]]
9: [[3, 1, 14], [2, 7, 5, 4], [10, 8], [11, 12], [13, 9], [16, 6, 15], [18, 17, 19, 20]]
10: [[3, 1, 14], [2, 7, 5, 4], [10, 8], [11, 12], [13, 9], [16, 6, 15], [18, 17, 19, 20]]
11: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12], [13, 9, 6], [16, 18, 15], [17, 19, 20]]
12: [[3, 1], [14, 2, 4], [7, 5, 10], [8, 11], [12, 13, 9], [16, 6, 15], [18, 17, 19, 20]]
13: [[3, 1], [14, 4], [2, 7, 5], [10, 8, 11], [12, 13], [6, 9], [15, 16], [18, 17, 19, 20]]
14: [[3, 1], [14, 4], [2, 7, 5], [10, 8], [11, 12, 13], [6, 9], [15, 16, 17, 19], [18, 20]]
15: [[3, 1, 14], [2, 4], [7, 5], [10, 8], [11, 12], [13, 9], [16, 6, 15], [18, 17, 19, 20]]
16: [[3, 1, 14, 4], [2, 7, 5, 10, 8], [11, 12, 13, 9], [15, 16, 18, 17, 19, 20, 6]]
17: [[3, 1], [14, 2, 4], [7, 5], [10, 8, 11], [12, 13], [16, 9, 6, 15], [18, 17, 19, 20]]
18: [[3, 1], [14, 4], [2, 7], [5, 10, 8], [11, 12], [13, 9], [16, 18, 6, 15], [17, 19, 20]]
19: [[3, 1], [14, 4], [2, 7], [5, 10, 8], [11, 12, 13], [16, 18, 9, 6, 15], [17, 19, 20]]
20: [[3, 1], [14, 4], [2, 7, 5], [10, 8, 11, 12], [13, 16, 9, 6, 15], [18, 17, 19, 20]]
21: [[3, 1], [14, 4], [2, 7, 5], [10, 8, 11], [12, 13], [6, 9, 15], [16, 18, 17, 19, 20]]
22: [[3, 1], [14, 4], [7, 5, 2], [10, 8], [11, 12, 13, 15, 18, 16, 17, 9, 6], [19, 20]]
23: [[3, 1, 14, 4], [2, 7], [5, 10, 8, 11], [12, 13], [16, 9, 6, 15], [18, 17, 19, 20]]
24: [[3, 1, 14], [2, 4], [7, 5, 10], [8, 11], [12, 13], [16, 9, 6, 15], [18, 17, 19, 20]]
25: [[3, 1], [14, 4, 2], [7, 5, 10], [8, 11], [12, 13], [6, 9], [15, 16, 18], [17, 19, 20]]
26: [[3, 1], [14, 4], [2, 7], [5, 10, 8], [11, 12], [13], [16, 19, 9, 6, 15], [17, 18, 20]]
27: [[3, 1], [14, 4], [7, 5, 2], [10, 8], [11, 12, 13, 15, 20, 17, 16, 9, 6], [19, 18]]
28: [[3, 1], [14, 2, 4], [7, 5], [10, 8, 11], [12, 13], [16, 18, 9, 6, 15], [17, 19, 20]]
29: [[3, 1], [14, 4], [2, 7], [5, 10], [8, 11, 12, 13], [16, 18, 9, 6, 15], [17, 19, 20]]
30: [[3, 1, 14, 6], [2, 4], [7, 5, 10], [8, 11, 12], [13, 9], [16, 18, 15], [19, 17, 20]]
31: [[3, 1], [14, 4], [2, 5], [7, 10, 8], [11, 12], [13, 9], [20, 16, 17, 15], [19, 18, 6]]
32: [[3, 1], [14, 4], [2, 7], [5, 10], [8, 11, 12], [13, 9, 6, 15], [16, 18, 19, 17, 20]]
33: [[3, 1, 14], [2, 4], [7, 5], [10, 8], [11, 12], [13], [16, 19, 9, 6, 15], [17, 18, 20]]
34: [[3, 1], [14, 4], [2, 7, 5], [10, 8, 11], [12, 13, 15, 16, 18, 17, 19, 20, 9, 6]]
35: [[3, 1], [14, 4], [7, 5, 10, 2], [8, 11, 12, 13, 9, 15, 16, 18, 17, 19, 20, 6]]
36: [[3, 1], [14, 2, 4, 6], [7, 5], [10, 8, 11, 12], [13, 15, 16, 18, 19, 17, 20, 9]]
37: [[3, 1], [14, 2, 7, 4, 6], [5, 10, 8, 11], [12, 13, 15, 16, 18, 19, 17, 20, 9]]
38: [[3, 1, 14], [2, 7, 4, 6], [5, 10, 8], [11, 12, 13, 15, 16, 18, 17, 19, 20, 9]]
39: [[3, 1, 14], [2, 4], [7, 5, 10, 8], [11, 12, 13, 6], [16, 17, 19, 18, 20, 9, 15]]
40: [[3, 1, 14], [2, 7, 4, 6], [5, 10, 8, 11], [12, 13, 15, 16, 18, 17, 19, 20, 9]]
41: [[3, 1, 14], [2, 7, 4, 6], [5, 10], [8, 11], [12, 13, 15, 16, 18, 17, 19, 20, 9]]
