0: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
1: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
2: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
3: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
4: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
5: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
6: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
7: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
8: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
9: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
10: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
11: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
12: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
13: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
14: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
15: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
16: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
17: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
18: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
19: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
20: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
21: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
22: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
23: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
24: [[45, 35, 2, 30, 20, 46, 19], [51, 26, 31, 37, 12, 9, 17], [32, 5, 7, 48, 4, 3], [54, 23, 28, 52, 44, 1, 22], [14, 15, 40, 24, 16, 11, 18, 10], [36, 59, 25, 33], [8, 27, 29, 43, 42, 47], [56, 13, 38, 34, 39, 58, 50, 21, 6], [53, 49, 55, 60, 57, 41]]
