0: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
1: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
2: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
3: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
4: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
5: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
6: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
7: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
8: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
9: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
10: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
11: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
12: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
13: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
14: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
15: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
16: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
17: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 12, 9], [15, 6, 14, 16], [17, 19, 20, 18]]
18: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
19: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
20: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
21: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
22: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
23: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
24: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
25: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 15, 9], [6, 14, 16], [17, 19, 20, 18]]
26: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 15, 9], [6, 14, 16], [17, 19, 20, 18]]
27: [[5, 7, 1, 2, 10, 4], [13, 3, 9, 11, 8, 12], [6, 14, 16, 17, 15], [19, 20, 18]]
28: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
29: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
30: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 9], [12, 15, 6, 14, 16], [17, 19, 20, 18]]
31: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14], [16, 17, 19, 20, 18]]
32: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 12, 9], [15, 6, 14], [16, 17, 19, 20, 18]]
33: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 9], [8, 12, 15, 6, 14, 16], [17, 19, 20, 18]]
34: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 12, 15, 9], [6, 14, 16], [17, 19, 20, 18]]
35: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 12, 15, 9], [6, 14, 16], [17, 19, 20, 18]]
36: [[5, 7, 1, 2, 10, 4], [13, 3, 9, 11, 8], [12, 6, 14, 16, 17, 15], [19, 20, 18]]
37: [[5, 7, 1, 2, 10, 4], [13, 3, 11, 8, 9], [12, 15, 6, 14], [16, 17, 19, 20, 18]]
38: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 9], [8, 12, 15, 6, 14, 16], [17, 19, 20, 18]]
39: [[5, 7, 1, 2, 10, 13, 4], [3, 11, 8, 9], [12, 15, 6, 14], [16, 17, 19, 20, 18]]
40: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 9], [12, 15, 6, 14], [16, 17, 19, 20, 18]]
41: [[5, 7, 1, 2, 4], [10, 13, 3, 11, 8, 9], [12, 15, 6, 14], [16, 17, 19, 20, 18]]
