0: [[5, 25], [20, 3], [16, 2, 9, 6, 17, 1], [4, 8], [7, 10, 15, 11, 12, 13, 14], [19, 18], [23, 22], [28, 24], [21, 27, 26], [29]]
1: [[5, 25], [20, 3], [16, 2, 10], [6, 17], [1, 4], [15, 12], [9, 7], [13, 11, 8], [14, 18, 19, 22], [23, 28, 24], [21, 27, 26], [29]]
2: [[5, 25], [20, 3], [16, 2], [1, 14], [17, 7, 4], [15, 13, 8, 10], [6, 11], [12], [22, 9, 19], [18, 23, 28, 24], [21, 27, 26], [29]]
3: [[5, 25], [20, 3], [16, 2], [9, 6], [7, 1], [4, 15], [12, 13], [11, 10], [8, 17], [14, 19], [18, 22, 23], [28, 24], [21, 27, 26, 29]]
4: [[5, 25], [20, 3], [16, 2, 1, 17, 4, 7, 12, 11, 6, 10, 9, 15, 23, 18, 13, 19, 22, 8, 28], [14, 24, 21, 27, 26, 29]]
5: [[5, 25], [20, 3], [16, 2], [14, 6], [17, 1], [4, 12], [7, 9, 8], [13, 11, 15], [10, 18, 19], [22, 23], [28, 24, 21], [27, 26, 29]]
6: [[5, 25], [20, 3], [16, 2, 1, 14], [17, 7], [4, 15], [13, 8, 10], [6, 11, 12, 22], [9, 19], [18], [23, 28, 24], [21], [27, 26, 29]]
7: [[5, 25], [20, 3], [16, 2, 1, 14], [17, 7, 4], [8, 13], [6, 15, 11], [12, 10, 22, 9], [18, 19], [23, 28], [24, 21], [27, 26, 29]]
8: [[5, 25], [20, 3], [16, 2], [9, 14, 17], [1, 4], [8, 6, 13], [7, 11], [12, 10, 15], [19], [18, 23, 22, 28, 24], [21, 27, 26, 29]]
9: [[5, 25], [20, 3], [16, 2], [8, 22], [14, 1], [4, 15, 9], [6, 7, 11], [10, 12, 23], [13, 17], [18], [19, 28, 24], [21, 27, 26], [29]]
10: [[5, 25], [20, 3], [16, 2, 1, 14], [17, 7], [4, 8], [13, 6, 10], [11, 12, 15, 22], [9, 18], [19, 23], [28, 24, 21], [27, 26, 29]]
11: [[5, 25], [20, 3, 16], [2, 9, 6], [17, 1], [4, 8, 15], [10, 7], [14, 11, 13], [12, 19, 18], [22, 23], [28, 21, 24], [27, 26, 29]]
