0: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 9, 13, 7, 23, 17], [10, 2, 24, 19, 18, 16], [15, 21, 27, 26, 29, 28]]
1: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
2: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
3: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
4: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
5: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
6: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
7: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
8: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
9: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 9, 7, 13, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
10: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
11: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
12: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
13: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
14: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
15: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
16: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
17: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 9, 7, 13, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
18: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 9, 7, 13, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
19: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17, 10], [2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
20: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17, 10], [2, 24, 19, 18, 16], [15, 21, 27, 26, 29, 28]]
21: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [9, 7, 13, 23, 17, 10], [2, 24, 19, 18, 16], [15, 21, 27, 26, 29, 28]]
22: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
23: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
