0: [[3, 10], [19, 5, 4], [1, 2], [14, 12], [6, 9], [7, 11], [8, 13, 15], [17, 18, 20, 16, 22], [23, 21, 24]]
1: [[5, 4], [1, 2], [14, 12, 10, 19], [6, 9], [7, 11], [8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
2: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9], [7, 11], [8, 13, 15], [17, 18], [20, 16, 22, 3], [23, 21, 24]]
3: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9], [7, 11], [8, 13, 15], [17, 18], [20, 16, 22, 3], [23, 21, 24]]
4: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9], [7, 11], [8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
5: [[5], [4, 1, 19], [2, 14, 12, 10], [6, 9], [7, 11], [8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
6: [[5, 4], [1, 2], [14, 12, 6, 10], [9, 7, 11], [8, 13, 19], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
7: [[5], [4, 1, 19], [2, 14, 10], [12, 6], [9, 7, 11], [8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
8: [[5], [4, 1, 19], [2, 14, 10], [12, 6], [9, 7, 11], [8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
9: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9], [7, 11, 8, 13], [15, 17], [18, 20], [16, 22, 3], [23, 21, 24]]
10: [[5], [4, 1, 19], [2, 14, 12, 10], [6, 9, 7], [11, 8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
11: [[5], [4, 1, 2, 19], [14, 12, 6, 10], [9, 7, 11], [8, 13], [15, 17], [18, 20], [16, 22, 3], [23, 21, 24]]
12: [[5, 4], [1, 2], [14, 12, 6, 10, 19], [9, 7], [11, 8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
13: [[5, 4], [1, 2], [14, 12, 6, 10, 19], [9, 7], [11, 8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
14: [[5], [4, 1, 19], [2, 14, 12, 6, 10], [9, 7], [11, 8, 13, 15], [17, 18, 20], [16, 22, 3], [23, 21, 24]]
15: [[5], [4, 1, 2, 19], [14, 12, 10], [6, 9], [7, 11, 8], [13, 15, 17], [18, 20, 16, 3], [22, 23, 21, 24]]
16: [[5, 4], [1, 2], [14, 12, 6, 10], [9, 7], [11, 8, 13, 15], [17, 18, 19], [20, 16, 22, 3], [23, 21, 24]]
17: [[5], [4, 1, 19], [2, 14, 10], [12, 6], [9, 7, 11, 8], [13, 15], [17, 18], [20, 16, 22, 3], [23, 21, 24]]
18: [[5, 4, 1, 19], [2, 14, 10], [12, 6], [9, 7], [11, 8, 13, 15], [17, 18], [20, 16, 22, 3], [23, 21, 24]]
