0: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55, 4], [8, 13, 6, 21], [14, 35, 39], [9, 29], [15, 16, 10, 18], [24, 11, 17, 12], [32, 20, 19, 26], [33, 25, 34], [28, 22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59], [57, 49]]
1: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3], [55, 4, 8], [13, 6, 21], [14, 35, 39], [9, 29], [15, 16, 10], [18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47], [56], [48, 54, 60, 52, 53, 59], [57, 49]]
2: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8], [13, 21, 6], [14, 35, 39], [9, 29], [16, 15, 10], [18, 24], [11, 17, 12], [32, 20, 19, 26], [33, 25, 34], [28, 22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59], [57, 49]]
3: [[58, 27], [30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8], [13, 6, 21], [14, 35, 39], [9, 29, 16], [15, 18], [10, 24, 12], [11, 17, 32], [20, 19, 26], [33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50], [44, 51, 46], [45, 47, 56], [48, 54], [60, 52], [53, 59, 57, 49]]
4: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3], [55, 4, 8], [13, 21, 6], [14, 35], [39, 9, 29], [16, 15, 10], [18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46, 25], [45, 47, 56], [48, 54, 60], [52, 53], [59, 57, 49]]
5: [[58], [27, 30], [43, 31], [7, 2], [1, 5], [38, 42, 3], [55, 4, 8], [13, 21, 6], [14, 35, 39], [9, 29, 16], [15, 10, 18], [24, 11], [17, 12, 32], [20, 19, 26], [33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46], [45, 47, 56], [48, 54], [60, 52], [53, 59], [57, 49]]
6: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4, 8], [13, 6, 21, 14], [35, 39, 9, 29, 15], [16, 10, 18, 24], [11, 17, 12, 32], [20, 19, 26], [33, 25, 34], [28, 22, 23], [40, 41, 37, 36, 50], [44, 51, 46, 45], [47, 56, 48, 54], [52, 60], [53, 59, 57, 49]]
7: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8], [13, 21, 6], [14, 35, 39], [9, 29], [16, 15, 10], [18, 24, 11], [17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53, 59], [57, 49]]
8: [[58], [27, 30], [43, 31], [7, 1, 2], [5, 38, 42, 18], [3, 55, 4], [8, 13, 6, 21], [14, 35, 39], [9, 29, 15], [16, 10], [24, 11, 17], [12, 32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59, 57, 49]]
9: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13], [21, 6, 14], [35, 18], [39, 9, 29], [16, 15, 10], [24, 12, 11], [17, 32, 20], [19, 26, 33], [25, 34, 28], [23, 22, 40], [41, 37, 36], [50, 44], [51, 46, 45], [47, 56], [48, 54, 52], [60, 53, 59], [57, 49]]
10: [[58], [27, 30], [43, 31], [7, 1, 2], [5, 38, 42, 18], [3, 55, 4], [8, 13, 6, 21], [14, 35, 39], [9, 29], [15, 16, 10], [24, 11, 17, 12], [32, 20, 19, 26], [33, 25, 34], [28, 23, 22], [40, 41, 37, 36], [50, 44], [51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
11: [[58, 27], [30, 43, 31], [7, 1], [5, 38, 42, 18], [3, 55], [4, 8], [13, 14, 21], [35, 39, 2], [9, 16, 29], [15, 24, 6, 10], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28], [23, 22, 40], [41, 37, 36], [50, 44, 51], [46, 45], [47, 56], [48, 54, 52], [53, 59], [57, 49, 60]]
12: [[58], [27, 30], [43, 31, 7], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 14, 6], [35, 2, 39], [9, 29, 15], [16, 10, 18], [24, 12, 11], [17, 32, 20], [19, 26, 33], [25, 34, 28], [23, 22, 40], [41, 37, 36], [50, 44], [51, 46, 45], [47, 56, 48], [54, 60, 52], [53, 59], [57, 49]]
13: [[58, 27], [30, 43, 31], [7], [1, 5, 2, 6], [38, 42, 3], [55, 4, 8], [13, 21], [14, 35, 39], [9, 16, 29], [15, 10, 18], [24, 12], [11, 17, 32], [20, 19, 26], [33, 25, 34], [28, 23, 22], [40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53], [59, 57, 49]]
14: [[58, 27], [30, 43, 31], [7, 2], [1, 5], [38, 42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39], [9, 29, 16], [15, 18, 10], [24, 11, 17], [32, 20, 19], [26, 34, 25, 33], [28, 22, 23], [40, 41, 37, 12], [36, 50, 44], [51, 46, 45], [47, 56, 48], [54, 60, 52], [53, 59, 57, 49]]
15: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [39, 9, 29], [16, 15, 18], [10, 24, 12], [11, 17], [32, 20, 19], [26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52, 53], [59, 57, 49]]
16: [[58], [27], [30, 43, 31], [7, 1, 2], [5, 38, 18], [42, 3, 55], [4], [8, 13, 21], [14, 35, 6], [39, 9], [16, 15, 10], [24, 11, 12], [17, 32, 20], [19, 26, 33], [25, 34], [28, 23, 22], [40, 41, 37, 29], [36, 50], [44, 51, 46], [45, 47], [56, 48, 54], [52, 60, 53, 59, 57, 49]]
17: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45], [47, 56, 48], [54, 60], [52, 53, 59, 57, 49]]
18: [[58], [27, 30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [39, 9], [29, 16, 15], [18, 10, 24], [11, 17, 32], [20, 19, 26], [33, 25], [34, 28, 22], [23, 40, 41], [37, 12, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
19: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3], [55, 4, 8], [13, 6, 21, 14], [35, 39, 9, 29], [15, 16, 10], [18, 24, 11], [17, 12, 32], [20, 19, 26], [33, 25], [34, 28], [22, 23, 40], [41, 37], [36, 50, 44], [51, 46, 45, 47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
20: [[58], [27, 30], [43, 31], [7, 2], [1, 5], [38, 42, 3], [55, 4, 8], [13, 6, 21], [14, 39, 35], [9, 16, 15], [29, 24, 10], [12, 18, 11], [17, 32, 20], [19, 26], [33, 25, 34], [28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46, 45], [47, 56, 48, 54], [60, 52, 53, 59, 57, 49]]
