0: [[25, 5], [3, 1, 18, 6, 4, 11, 15, 8, 10, 12], [7, 17, 13, 2, 19, 9, 16, 14], [22, 20, 23], [21, 26, 27], [24, 28, 29]]
1: [[25, 5], [3, 1, 18, 12], [4, 7, 11, 15, 13, 6, 16, 8, 10], [9, 2, 19, 17, 20, 23, 22, 14], [21, 27, 26], [24, 29, 28]]
2: [[25, 5, 3], [1, 2], [20, 7, 11, 15, 4, 6, 8, 9, 12], [13, 23, 17, 16, 18, 19, 22, 10, 14], [21, 27, 26], [24, 29, 28]]
3: [[25, 5, 3], [1, 2, 4, 7, 8, 15, 6, 11, 12], [9, 18, 16, 23, 17, 20, 22, 10, 14], [29, 13, 19], [21, 27, 26], [24, 28]]
4: [[25, 5, 3], [1, 2, 4, 7, 8, 15, 6, 11, 12], [9, 18, 16, 23, 17, 20, 22, 10, 14], [29, 13, 19], [21, 27, 26], [24, 28]]
5: [[25, 5, 3], [1, 18, 6, 2, 11, 8, 4, 7, 13, 22, 10, 12], [19], [15, 17, 9, 16, 20, 23, 14], [21, 26, 27], [24, 28, 29]]
6: [[25, 5, 3, 1, 2, 4, 7, 8, 11, 12], [6, 9, 13, 19, 17, 18, 16, 23, 22, 10], [20, 14], [15], [21, 27, 26], [24, 28, 29]]
7: [[25, 5], [3, 1, 18, 4, 13, 15, 11, 2, 6, 8, 12], [7, 9, 16, 22, 20, 10], [23, 17, 21, 19, 14], [27, 26], [24, 29, 28]]
8: [[25, 5, 3, 1, 18, 6, 4, 8, 15, 2], [7, 20, 13, 11, 19, 9, 22, 10, 12], [16, 14], [17, 23], [21, 26, 27], [24, 28, 29]]
9: [[25, 5, 3, 1, 2, 6, 7, 10, 14], [4, 8, 9], [13], [23, 17, 11, 20, 18, 15, 16, 19, 22, 12], [21, 27, 26], [24, 29, 28]]
10: [[25, 5, 3, 1, 18, 6, 2, 11], [15, 4, 7, 17, 8, 9, 19, 10, 12], [16, 14], [13, 20, 23, 22], [21, 26, 27], [24, 28, 29]]
11: [[25, 5, 3], [1, 2], [4, 9, 6, 11, 13, 22, 12], [7, 8, 17, 20, 18, 15, 16, 28, 19, 14], [21, 27, 26], [24, 29, 23, 10]]
12: [[25, 5], [3, 1, 2, 4, 7, 15, 11, 6, 8, 14], [9, 18, 17, 22, 20, 10], [23, 16, 19, 13, 21, 12], [27, 26], [24, 28, 29]]
13: [[25, 5, 3, 1, 2, 4, 6, 11, 15, 12], [8, 13, 9, 19, 17, 16, 23, 10, 14], [18, 20, 22], [7], [21, 26, 27], [24, 29, 28]]
14: [[25, 5, 3, 1, 2, 4, 15, 8, 7], [6, 9, 22, 10], [11, 13, 14], [17, 16, 20, 19, 18, 23, 12], [21, 27, 26], [24, 28, 29]]
15: [[25, 5, 3], [1, 2, 6, 4, 11, 9, 20, 22, 14, 12], [7, 17, 8, 13, 15, 19, 28, 16], [18], [21, 26, 27], [24, 29, 23, 10]]
16: [[25, 5, 3, 1, 18, 4, 23, 7, 22, 12], [6, 13, 9], [11, 8], [2, 15, 17, 16, 19, 20, 10, 14], [21, 27, 26], [28, 24, 29]]
17: [[25, 5, 3, 1, 18, 6, 7, 8, 15], [2, 11, 13], [4, 19, 9, 17, 16, 10, 12, 14], [23, 20, 22], [21, 27, 26], [24, 28, 29]]
18: [[25, 5, 3], [1, 2, 6], [4, 7, 9, 8, 11, 17, 10, 12], [13, 15, 16, 20, 18, 19, 21, 23, 22, 14], [26, 27], [24, 28, 29]]
19: [[25, 5], [3, 1, 18, 6, 4, 2, 15, 7, 10, 12], [21, 13, 11, 19, 9, 8, 17, 14], [16, 23, 22], [20, 26, 27], [24, 28, 29]]
20: [[25, 5], [3, 1, 6, 2, 8, 12], [4, 9, 7, 19, 13, 15, 11, 16, 17, 10, 14], [20, 21, 23, 22], [18, 26, 27], [24, 28, 29]]
21: [[25, 5, 3], [1, 2, 4, 9, 8, 6, 7, 13, 29, 11, 12], [16, 17, 20, 18, 28, 10, 14], [19, 15], [21, 27, 26], [24, 23, 22]]
22: [[25, 5], [3, 1, 18, 6, 2, 9, 22, 14], [4, 7, 15, 17, 23, 16, 8, 11, 13, 10, 12], [19, 21], [20, 27, 26], [24, 28, 29]]
23: [[25, 5, 3, 1, 2, 4, 8, 12], [6, 15, 7], [13, 11, 19, 22, 14], [9, 16, 20, 17, 18, 23, 28, 10], [21, 27, 26], [24, 29]]
24: [[25, 5, 3, 1, 2, 6, 7, 8], [15, 4, 9, 13, 18, 16, 23, 22, 12, 14], [17, 20], [29, 11], [21, 26, 27], [24, 28, 19, 10]]
25: [[25, 5, 3], [1, 18, 4, 14, 12], [11, 15, 2, 8, 13, 7, 10], [9, 16, 19, 23, 6, 17, 20, 21, 22], [26, 27], [24, 29, 28]]
26: [[25, 5, 3], [1, 6, 7, 2, 8, 4, 23, 22, 10, 14, 12], [13], [17, 11, 9, 15, 16, 18, 19, 21, 20], [26, 27], [24, 28, 29]]
27: [[25, 5], [3, 1, 18, 6, 8, 7, 22, 14, 12], [2, 4, 10], [9, 11, 13, 21, 15, 17, 19, 16, 23], [20, 26, 27], [24, 28, 29]]
28: [[25, 5], [3, 1, 2, 4, 7, 8, 15, 6, 11, 12], [13, 9, 18, 19, 23, 20, 22], [16, 28, 10], [21, 27, 17], [24, 26, 29, 14]]
29: [[25, 5, 3, 1, 18, 6, 4, 9, 15, 8, 12], [17, 29, 2, 7, 11, 13, 19, 10, 14], [16, 20, 23, 22], [21, 27], [24, 28, 26]]
30: [[25, 5], [3, 1, 18, 22, 12], [6, 2, 8, 4, 11, 7, 24, 9, 10], [19, 20, 23, 15, 13, 16, 21, 17], [29, 14], [26, 28, 27]]
31: [[25, 5, 3, 1, 6, 2], [15, 11, 4, 10, 14], [21, 13, 7, 17, 8, 9, 18, 20, 16, 12], [23, 19, 22], [27, 26], [24, 28, 29]]
32: [[25, 5, 3, 1, 18, 6, 2, 12], [8, 4], [7, 11, 9, 15, 13, 21, 19, 20, 16, 22, 10], [23, 17, 14], [27, 26], [24, 28, 29]]
33: [[25, 5, 3, 1, 2, 6], [15, 7, 4, 8, 9, 23, 10], [11, 13, 16, 20, 17, 18, 21, 19, 22, 12, 14], [26, 27], [24, 28, 29]]
34: [[25, 5, 3, 1, 18, 6, 8, 12], [15, 9, 4, 13, 7, 17, 2, 11, 10, 14], [19, 16, 20, 21, 22], [23], [26, 27], [24, 28, 29]]
35: [[25, 5, 3], [1, 7, 13, 11, 2, 6, 8, 4, 22, 10, 14, 12], [9], [17, 23, 15, 16, 20, 18, 19, 21], [26, 27], [24, 28, 29]]
36: [[25, 5, 3, 1, 2], [4, 6, 9, 7, 23, 22, 12], [8, 15, 13, 16, 11, 19, 17, 21, 10, 14], [18, 20], [27, 26], [24, 29, 28]]
37: [[25, 5, 3, 1, 18, 4, 6, 8, 13, 9, 22, 14, 12], [7, 17, 11, 2, 10], [19, 15, 16, 21, 23], [20], [26, 27], [24, 28, 29]]
38: [[25, 5, 3], [1, 6, 2, 4, 11, 10, 14], [7, 23, 13, 22], [8, 16, 15, 9, 17, 18, 19, 21, 12], [20, 27, 26], [24, 28, 29]]
39: [[25, 5, 3], [1, 18, 6, 2, 11, 15, 8, 10], [7, 17, 9, 13, 19, 4, 16, 22, 12, 14], [20, 21], [26, 23, 27], [24, 28, 29]]
40: [[25, 5, 3, 1, 2, 6, 8, 4, 9, 7, 12], [11, 13, 15], [19, 10], [16, 21, 17, 18, 23, 22, 14], [29, 27, 26], [24, 28, 20]]
41: [[25, 5, 3], [1, 18, 4, 10, 12], [15, 9, 7, 6, 13, 2, 8], [17, 19, 21, 11, 16, 23, 20, 28, 22, 14], [26, 27], [24, 29]]
42: [[25, 5, 3], [1, 18, 6, 2, 8, 15, 7, 4, 12], [13, 11, 9, 16, 19, 28, 10, 14], [21, 26], [20, 27, 17], [24, 29, 23, 22]]
43: [[25, 5], [3, 1, 18, 6, 8, 14, 12], [4, 2, 7, 9, 13, 17, 16, 11, 15, 24, 10], [20, 21, 23, 22], [26, 19], [27, 28, 29]]
44: [[25, 5], [3, 1], [18, 4, 2, 9, 15, 6, 8, 13, 11, 7, 12], [23, 19, 22, 10, 14], [28, 20, 27, 21, 26, 16], [24, 29, 17]]
45: [[25, 5, 3, 1, 2, 4, 6, 8, 13, 7, 12], [24, 9, 15, 10, 14], [17, 19, 20, 11, 16, 18], [21, 22], [27, 26], [23, 28, 29]]
46: [[25, 5, 3], [1, 18, 6, 8, 7, 4, 2, 12], [11, 9, 15, 17, 16, 13, 26, 23, 10, 14], [21], [20, 27, 19, 22], [24, 28, 29]]
47: [[25, 5, 3, 1, 2, 4, 7, 8, 15], [6, 11, 9], [13, 17, 19, 20, 16, 18, 23, 22, 14, 12], [21, 26, 27, 10], [24, 28, 29]]
48: [[25, 5, 3, 1, 2, 6, 7, 11, 10], [15, 28, 4, 17, 8, 9, 19, 14], [13, 18], [16, 20, 23, 22, 12], [21, 27], [24, 26, 29]]
49: [[25, 5, 3, 1, 6, 2], [15, 4, 7, 17, 11, 8, 13, 19, 27, 10, 12], [16, 9, 22], [21, 23], [20, 26, 18, 14], [24, 28, 29]]
50: [[25, 5, 3], [1, 18], [6, 4, 10], [15, 8, 2, 7, 27, 13, 9, 16, 12], [11, 17, 20, 23, 21, 19, 26, 22, 14], [24, 29, 28]]
51: [[25, 5, 3], [1, 6, 2, 8, 7, 4, 10, 12], [11, 27, 15, 19, 9, 13, 18, 23, 22], [21, 16], [20, 17, 26, 14], [24, 28, 29]]
52: [[25, 5, 3, 1, 2, 6, 10], [15, 7, 4], [8, 9, 11, 13], [23, 18, 16, 20, 26, 19, 21, 22, 12, 14], [27, 17], [24, 28, 29]]
53: [[25, 5, 3], [1, 2, 6], [8, 4, 9, 13, 11, 15, 7, 18, 10, 12], [23], [17, 20, 28, 16, 21, 27, 26, 22], [24, 29, 19, 14]]
54: [[25, 5, 3, 1, 2, 6, 4, 8, 12], [15, 11, 7], [13], [9, 26, 17, 16, 20, 18, 29, 19, 21, 10, 14], [27, 22], [24, 28, 23]]
55: [[25, 5, 3, 1, 18, 6, 22], [2, 4], [8, 7, 10, 12], [20, 11, 13, 19, 9, 15, 16, 17, 21, 14], [23, 26, 27], [24, 28, 29]]
56: [[25, 5, 3], [1, 2, 4, 12], [7, 9, 6, 8, 11, 13, 24, 10], [16, 17, 20], [18, 21, 15, 19, 23, 27, 26, 14], [28, 29, 22]]
57: [[25, 5, 3, 1, 18, 6, 2, 8], [9, 4, 7, 13, 11, 15, 10, 14, 12], [19, 16, 20], [17, 21, 23, 22], [27, 26, 24], [29, 28]]
58: [[25, 5, 3, 1], [18, 6, 4, 11, 15, 9, 8, 7, 21, 13, 12], [2, 17, 10], [16, 14], [23, 20, 19, 27, 26, 22], [24, 28, 29]]
59: [[25, 5, 3, 1, 2, 6, 7, 8, 15], [4, 11, 9, 13, 22, 12], [26, 16, 18], [19, 20, 17, 21, 10, 14], [27, 23], [24, 28, 29]]
