0: [[13], [5, 25], [19, 7], [1, 2], [6, 4, 8, 12], [18, 10, 14], [9, 11, 16, 15, 17], [3, 20, 23, 22], [26, 27, 21], [24, 28, 29]]
1: [[13], [5, 25], [19, 7, 1, 2], [3, 4], [6, 12], [8, 10], [15, 11], [29, 14], [9, 16, 18, 17, 23, 22], [20, 21, 26, 24, 27, 28]]
2: [[13], [5, 25], [19, 7, 1, 2, 3, 4, 12, 6, 8, 10, 14, 11, 26, 15, 16, 17, 18, 9, 22, 20, 23], [21, 24, 28, 27, 29]]
3: [[13], [5, 25], [19, 7], [1, 2], [3, 4], [8, 26, 11, 10, 6, 9, 12, 15, 20, 14, 16, 17, 22, 18], [23, 21, 24, 27, 28, 29]]
4: [[13], [5, 25], [19, 7, 1, 2], [3, 4], [6, 12, 9, 8, 10, 11, 14, 15, 21, 27, 26, 28, 23, 16, 17, 20, 22], [18, 29, 24]]
5: [[13], [5, 25], [19, 7, 1, 2], [3, 4], [8, 12], [27, 10, 14, 11, 9, 6, 15, 17, 16, 20, 23, 22, 18, 24, 21, 26, 29, 28]]
6: [[13], [5, 25], [19, 7, 1, 2], [3, 4, 12, 6, 28, 10], [14, 8, 11, 17, 9, 24, 15, 20, 22, 16, 18, 21, 23, 26], [29, 27]]
7: [[13], [5, 25], [19, 7], [1, 2], [3, 4], [12, 6], [8, 14, 18, 11, 10, 9, 17, 15, 16, 21, 22, 23], [24, 28, 20, 26, 27, 29]]
8: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 12, 6], [8, 10, 14], [11, 9, 15, 18, 17], [23, 20, 21, 22, 16], [24, 27, 26], [28, 29]]
9: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 8, 12], [6, 10, 11], [15, 14, 17], [21, 9, 24, 20, 27, 22, 26, 23, 18, 16, 28, 29]]
10: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 12], [6, 9, 8], [15, 11, 14, 21, 10, 17], [24, 20], [22, 18, 16, 23], [26, 27, 28, 29]]
11: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 12], [10, 24, 6], [8, 11, 9], [14, 23, 17, 16, 15], [22, 18, 20, 21, 29, 26, 28, 27]]
12: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 12], [10, 24, 6], [8, 11, 9], [14, 23, 17, 16, 15], [22, 18, 20, 21, 29, 26, 28, 27]]
13: [[13], [5, 25], [19, 7, 1, 2, 3], [4, 12, 14, 6, 10, 8, 9, 11, 15, 16, 17, 18, 20, 23, 22, 26, 21, 24, 27, 28, 29]]
14: [[13], [5, 25], [19, 7, 1, 2], [3, 4, 8, 6, 9, 11, 12, 10, 14], [16, 15, 26, 17, 18, 20, 24, 22, 21, 23], [28, 29, 27]]
15: [[13], [5, 25], [19, 7, 1, 2, 3], [4, 8, 28, 22, 10, 6, 9, 27, 11, 12, 17, 18, 14, 15, 26, 16, 21, 20, 23, 24, 29]]
16: [[13], [5, 25], [19, 7], [1, 2], [3, 4], [11, 12, 22], [6, 10], [8, 9], [27, 15, 26, 18, 20, 23, 16, 17, 24, 21, 28, 29, 14]]
17: [[13], [5, 25], [19, 7, 1], [2, 3, 4, 12, 26, 14, 10, 8, 9, 11, 6, 22, 17, 21, 16, 23], [20, 15, 18, 29, 24, 28, 27]]
18: [[13], [5, 25], [19, 7, 1, 2], [3, 4, 8, 12, 10, 9, 6], [27, 11, 14, 26, 29, 20, 22], [23, 15, 17, 28], [21, 24], [16, 18]]
19: [[13], [5, 25], [19, 7, 1, 2], [3, 4], [12, 8], [26, 6, 10], [9, 11, 14], [28, 16, 24], [15, 18, 22, 20, 23], [21, 17, 27], [29]]
20: [[13], [5, 25], [19, 7], [1, 2], [6, 4, 8, 12], [18, 3, 10], [9, 11, 14], [23, 15, 16, 20], [17, 22, 24], [29, 21, 26], [28, 27]]
21: [[13], [5, 25], [19, 7], [1, 2], [3, 4], [12], [14, 6, 10, 8, 11, 15, 17, 9], [26, 20, 16, 21, 18, 22], [23, 24, 27, 28, 29]]
