0: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
1: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
2: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
3: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
4: [[7, 11], [2], [13, 3, 16, 1], [6, 5, 14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
5: [[1, 2], [13, 3, 16], [6, 5, 11, 7], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
6: [[1, 2], [13, 3, 16], [6, 5, 11, 7], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
7: [[1, 2], [13, 3, 16], [6, 5, 11, 7], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
8: [[7, 11], [2], [13, 3, 16, 1], [6, 5, 14, 4], [10, 9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
9: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4], [10, 9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
10: [[11, 7], [16, 1, 2, 13, 3], [6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
11: [[1, 11, 7], [2, 13], [3, 6, 16], [5, 14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
12: [[1, 11, 7], [2, 13], [3, 6, 16], [5, 14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
13: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
14: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
15: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
16: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
17: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
18: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
19: [[11, 7], [16, 1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
20: [[11, 7], [16, 1, 2], [13, 3], [6, 5, 14, 4], [10, 9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
21: [[11, 7, 16], [1, 2, 13, 3, 6], [5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
22: [[11, 7], [16, 1], [2, 13], [3, 6, 5, 14, 4], [10, 9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
23: [[1, 2], [13, 3, 16], [6, 5, 14], [4, 10, 11, 7], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
24: [[1, 2, 13], [3, 6, 16], [5, 14, 7], [4, 10, 9, 8, 12, 15, 19, 17, 18, 20, 11], [21, 23, 22, 24]]
25: [[11, 7], [16, 1, 2, 13, 3, 6, 5, 14], [4, 10], [9, 8], [12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
