0: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
1: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
2: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
3: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
4: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
5: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
6: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
7: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
8: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
9: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
10: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
11: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
12: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
13: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
14: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
15: [[3, 4, 1, 5, 2], [6, 9, 11, 8], [7, 10, 12, 13]]
16: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
17: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
18: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
19: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
20: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
21: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
22: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
23: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
24: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
25: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
26: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
27: [[3, 4, 1, 5], [2, 6, 9, 11, 8], [7, 10, 12, 13]]
