0: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 13, 10], [15, 18, 17, 24, 14], [16, 29, 20, 25, 22], [23, 28], [21, 27, 26]]
1: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5, 6, 10, 15], [13, 14], [17, 25, 18, 20], [24, 23, 16, 22], [21, 26, 27, 29, 28]]
2: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6], [15, 10, 13, 20, 17], [18, 14], [16, 22, 23, 21, 29], [24, 25, 28, 27, 26]]
3: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [6, 5], [13, 10, 14], [16, 17, 18, 15, 20], [22, 23, 21, 28, 24, 25, 29, 27, 26]]
4: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5, 14, 15], [6, 22, 17, 24, 13], [16, 10, 18], [20, 23, 25], [21, 27], [28, 26, 29]]
5: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 14, 10], [15, 16, 17, 18, 13], [20, 22, 21, 23, 26], [25, 24, 29, 27, 28]]
6: [[19, 1, 9], [7, 2, 3, 8, 4, 11, 12, 5, 6, 13, 10, 14, 16, 15, 29, 17, 18, 21, 20, 23, 24, 22, 25, 28], [27, 26]]
7: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 14, 10], [15, 17, 13, 20, 21], [18, 16, 28, 23, 22, 25], [24, 29, 26, 27]]
8: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 14, 10], [13, 15, 17], [16, 22, 20, 18, 21, 23, 25, 26, 24, 27, 29, 28]]
9: [[19, 1], [9, 7, 2, 3, 8], [4, 11, 12], [5, 6, 13, 10], [15, 24, 17, 18, 14], [16, 22, 21, 23, 28], [20, 25, 29, 27, 26]]
10: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 15, 10, 28], [13, 27, 18, 26, 22, 14, 16, 21, 29, 20, 24, 17, 23, 25]]
11: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [6, 5, 13, 10, 15, 14, 16, 17, 26, 20, 23, 21, 22, 18, 25, 24, 27, 28, 29]]
12: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [5, 6, 12], [13, 25, 20, 17, 27, 26, 24, 15, 16, 18, 22, 21, 29, 23, 28, 10, 14]]
13: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [5, 14, 6, 13, 10], [12, 15, 17, 24, 16], [20, 22, 18, 29, 27], [21, 23, 25, 28, 26]]
14: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 14, 10], [15, 20, 17, 18, 13], [22, 16, 21, 23, 26, 29, 24, 25, 27, 28]]
15: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 14], [10, 13, 15, 17, 16, 20, 23, 18, 28, 21, 29, 22, 24, 27, 25, 26]]
16: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12, 6], [5, 13, 10], [14, 15, 16, 29, 17], [22, 18, 21, 20, 26, 25, 23, 28, 24], [27]]
17: [[19, 1, 9, 7, 2], [3, 8, 4], [11, 5, 6, 14, 12, 13, 15, 22, 23, 24, 28, 17, 16], [18, 25, 21, 29, 20, 27, 10, 26]]
