0: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
1: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
2: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
3: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
4: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
5: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
6: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
7: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
8: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
9: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
10: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
11: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
12: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
