0: [[51, 19, 29, 47, 4], [37, 20, 32], [22, 23, 8, 16, 5, 18], [41, 11], [43, 13, 21], [28, 17, 14], [1], [24, 25, 9, 30, 12], [35, 27, 31, 26, 2], [34], [38], [48, 45, 7], [36, 39, 40], [42, 56, 3, 44, 46, 52], [53, 55, 50, 49, 57], [60, 15, 54, 6, 10], [33, 59, 58]]
1: [[51, 19, 29, 47, 4], [37, 20, 32], [22, 23, 8, 16, 5, 18], [41, 11], [43, 13, 21], [28, 17, 14], [1], [24, 25, 9, 30, 12], [35, 27, 31, 26, 2], [34], [38], [48, 45, 7], [36, 39, 40], [42, 56, 3, 44, 46, 52], [53, 55, 50, 49, 57], [60, 15, 54, 6, 10], [33, 59, 58]]
2: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 13, 29, 17, 25, 27, 15, 24, 22, 10, 21, 6], [19, 20, 26, 31, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
3: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 10, 6, 21, 15, 13, 17, 29, 27, 24, 25, 22], [19, 20, 31, 26, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
4: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 6, 10, 27, 21, 13, 29, 22, 15, 17, 25, 24], [19, 20, 31, 26, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
5: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 6, 27, 15, 17, 10, 25, 24, 21, 13, 29, 22], [19, 20, 26, 31, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
6: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 10, 6, 21, 15, 13, 17, 29, 27, 24, 25, 22], [19, 20, 31, 26, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
7: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 6, 13, 10, 29, 15, 17, 25, 22, 31, 21, 24], [19, 20, 26, 27, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
8: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 6, 10, 13, 21, 15, 25, 17, 22, 29, 31, 24], [27, 20, 19, 26, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
9: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 6, 10, 15, 13, 22, 24, 17, 31, 21, 25, 29], [19, 20, 26, 27, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
10: [[35, 33, 7, 3, 1, 2, 4, 14], [12, 28, 5, 9, 16, 18, 8, 11, 30, 23, 6, 10, 15, 13, 22, 24, 17, 31, 21, 25, 29], [19, 20, 26, 27, 38, 32, 36, 41, 34, 42, 39, 44, 37, 40, 45, 43], [47, 46, 54, 48, 50, 49, 51, 55, 52, 53, 58, 56, 60, 59, 57]]
