0: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 13, 15, 8, 10], [12, 29, 16, 23, 18, 19, 22, 20, 14], [28, 24], [21, 27, 26]]
1: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 12, 29, 28, 8, 10], [13, 22], [18, 15, 16, 19, 23, 20, 24, 14], [21, 26, 27]]
2: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11], [12, 10], [13, 29, 28, 22, 15, 18, 23, 19, 16, 24, 20, 8, 14], [21, 26, 27]]
3: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 13, 11, 7, 8], [12, 22, 15, 18, 16, 19, 20, 23, 21, 10, 14], [24, 28], [27, 26, 29]]
4: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 15, 7, 8, 10], [11, 14], [12, 16, 13, 22, 18, 19, 20, 24, 23, 21, 28], [26, 27, 29]]
5: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 10, 12], [13, 8], [29, 28, 22, 15, 18, 23, 19, 16, 14], [24, 20], [21, 26, 27]]
6: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 11, 12, 7], [15, 16, 23, 13, 18, 19, 28, 20, 22, 8, 10, 14], [26, 24], [27, 29, 21]]
7: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 13, 8, 14], [24, 10], [11, 19, 12, 20, 15, 18, 16, 22, 21, 28, 23], [27, 26, 29]]
8: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 13, 7, 24, 12, 8, 10], [15, 14], [18, 11, 16, 19, 21, 28, 22, 20, 23], [26, 27, 29]]
9: [[25, 5, 3, 9, 6, 17, 1, 4], [2, 15], [7, 18, 8, 28, 11, 29, 20, 13, 22, 16, 23, 10, 12, 14], [24, 19], [21, 26, 27]]
10: [[25, 5], [3, 9], [6, 17, 1, 4, 2, 7, 11, 12, 15, 13, 8, 10, 14], [28, 16, 18, 19, 23, 22, 20, 21, 24], [27, 26, 29]]
11: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 11, 7, 13, 8, 15, 14, 12], [19, 18], [16, 20, 21, 23, 22, 29, 26, 10], [27, 24, 28]]
12: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 11, 7, 15, 8, 10], [29, 14], [22, 13, 16, 20, 27, 18, 19, 21, 23, 12], [24, 26, 28]]
13: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 24, 10], [8, 13], [29, 18, 21, 15, 26, 16, 19, 20, 22, 12, 14], [23, 27, 28]]
14: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 8, 11], [15, 7], [29, 24, 13, 18, 16, 22, 19, 20, 10, 12, 14], [21, 26], [23, 28, 27]]
15: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 15, 11, 12, 7], [28, 13, 23, 18, 16, 19, 22, 20, 8, 10, 14], [21, 29], [26, 27, 24]]
16: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 13, 12], [29, 8], [16, 23, 21, 15, 19, 20, 22, 18, 24, 10, 14], [27, 28, 26]]
17: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 11, 8, 15, 7], [27, 18, 22, 16, 19, 13, 20, 21, 10, 12, 14], [29, 24], [23, 26, 28]]
