0: [[5, 10, 3, 1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
1: [[5, 10, 3, 1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
2: [[5, 10, 3, 1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
3: [[5, 10, 3, 1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
4: [[5, 10, 3], [1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
5: [[5, 10, 3], [1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
6: [[5, 10, 3], [1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
7: [[5, 10, 3], [1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
8: [[5, 10, 3], [1, 2, 4], [6, 9, 8, 11], [7, 12, 13]]
9: [[5, 10, 3, 1, 2], [4, 6, 9, 8], [11, 7, 12, 13]]
10: [[5, 10, 3, 1, 2], [4, 6, 9], [8, 11, 7, 12, 13]]
11: [[5, 10], [1, 3, 4], [6, 9, 8, 11], [12, 13, 7, 2]]
12: [[5, 10], [3, 1, 4, 2], [6, 9, 8, 11], [7, 12, 13]]
13: [[5, 10, 3, 1, 2, 4], [6, 9, 8], [11, 7, 12, 13]]
14: [[5, 10, 3, 1, 2, 4], [6, 9, 8], [11, 7, 12, 13]]
15: [[5, 10, 3], [1, 2, 4], [6, 9], [8, 11], [12, 13, 7]]
16: [[5, 10, 3], [1, 4, 6, 2], [9, 8, 11], [7, 12, 13]]
17: [[5, 10, 3], [1, 4, 6, 2], [9, 8, 11], [7, 12, 13]]
18: [[5, 10, 3, 1], [2, 4, 6, 9], [8, 11, 7, 12, 13]]
19: [[5, 10, 3], [1, 4], [9, 8, 6], [11, 12, 13, 2, 7]]
20: [[5, 10, 3], [1, 4], [9, 8, 6], [11, 12, 13, 2, 7]]
21: [[5, 10, 3], [1, 4], [9, 8, 6], [11, 12, 13, 2, 7]]
22: [[5, 10, 3], [1, 2], [6, 9, 4], [8, 11, 12, 13, 7]]
23: [[5, 10, 3, 1], [2, 4, 6], [9, 8, 11, 7, 12, 13]]
24: [[5, 10, 3, 1], [2, 4, 6], [9, 8, 11, 7, 12, 13]]
25: [[5, 10, 3, 1], [2, 4, 6], [9, 8, 11, 7, 12, 13]]
26: [[5, 10, 3, 1], [2, 4, 6], [9, 8, 11, 7, 12, 13]]
27: [[5, 10, 3, 1], [4, 6, 9, 2], [8, 11, 7], [12, 13]]
