0: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
1: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
2: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
3: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
4: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
5: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
6: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
7: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
8: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
9: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
10: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
11: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
12: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
13: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
14: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
15: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
16: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
17: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
18: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
19: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
20: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
21: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
22: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
23: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
24: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
25: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
26: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
27: [[6, 3, 10, 4, 1], [12, 5, 2], [8, 11, 9, 7], [13]]
