0: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
1: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
2: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
3: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
4: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
5: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
6: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
7: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
8: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
9: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
10: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
11: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
12: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
13: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
14: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
15: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
16: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
17: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
18: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
19: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
20: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
21: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
22: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
23: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
24: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
25: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
26: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
27: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
28: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
29: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
30: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
31: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
32: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
33: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
34: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
35: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
36: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
37: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
38: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
39: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
40: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
41: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
42: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
43: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
44: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
45: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
