0: [[11, 9], [1, 3, 5], [6, 8, 4, 10, 2], [7, 12, 13]]
1: [[11, 9], [1, 3, 5], [6, 8, 4, 10, 2], [7, 13, 12]]
2: [[11, 9], [1, 3, 5], [6, 8, 2], [10, 4], [12, 13, 7]]
3: [[11, 9], [1, 3, 5], [6, 8, 4], [10, 2], [12, 13, 7]]
4: [[11, 9], [1, 3, 5], [6, 8, 4], [10, 2], [13, 12, 7]]
5: [[11, 9], [1, 3, 5], [6, 8, 4], [10, 2], [12, 13, 7]]
6: [[11, 9], [1, 3, 5], [6, 8], [10, 2, 4], [12, 13, 7]]
7: [[11, 9], [1, 3, 5], [6, 8], [10, 2, 4], [12, 13, 7]]
8: [[11, 9], [1, 3, 5], [6, 8, 4], [10, 13, 12, 2, 7]]
9: [[11, 9], [1, 3, 5, 6], [4, 10, 8, 2], [13, 12, 7]]
10: [[11, 9], [1, 3, 5, 6], [8, 2], [10, 4], [12, 7, 13]]
11: [[11, 9], [1, 3, 5, 6], [8, 2], [10, 4], [12, 7, 13]]
12: [[11, 9, 6], [1, 3], [5, 8], [10, 4], [13, 12, 2, 7]]
13: [[11, 9], [1, 3, 6], [4, 8], [5, 10, 2], [12, 13, 7]]
14: [[11, 9], [1, 3, 5], [6, 8, 2], [10, 4, 12], [7, 13]]
15: [[11, 9], [1, 3], [5], [6, 8, 4], [10, 13, 12, 2, 7]]
16: [[11, 9], [1, 3], [5, 6, 8], [10, 2, 4], [12, 13, 7]]
17: [[11, 9], [1, 3], [5, 6, 8], [10, 2, 4], [13, 12, 7]]
18: [[11, 9], [1, 3], [5, 6, 8], [10, 2, 4], [12, 13, 7]]
19: [[11, 9], [1, 3], [5, 6, 8], [10, 2, 4], [12, 13, 7]]
20: [[11, 9, 7], [1, 3, 5], [8, 4], [10, 12, 13, 6, 2]]
21: [[11, 9], [1, 3], [5, 6], [8, 4, 10, 2], [12, 7, 13]]
22: [[11, 9], [1, 3], [5, 6, 8], [4, 10, 2, 12], [13, 7]]
23: [[11, 9], [1, 3], [5, 6], [8, 10, 4], [12, 13, 2, 7]]
24: [[11, 9], [1, 3, 5], [6, 8, 2], [10, 12, 13, 4, 7]]
25: [[11, 9, 1], [3, 5, 6, 8, 4], [10, 2, 7, 13, 12]]
26: [[11, 9, 1], [3, 5, 6, 8, 2, 10, 4, 12], [13, 7]]
27: [[11, 9, 1], [3, 5, 6], [8, 4, 10, 2, 12, 13, 7]]
