0: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
1: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
2: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
3: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
4: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
5: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
6: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
7: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
8: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
9: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
10: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
11: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
12: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
13: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
14: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
15: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
16: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
