0: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
1: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
2: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
3: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
4: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
5: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
6: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
7: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
8: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
9: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
10: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
11: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
12: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
13: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
14: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
15: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
16: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
17: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
18: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
19: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
20: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
21: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
22: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
23: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
