0: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
1: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [7, 24, 2, 28], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
2: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
3: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
4: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
5: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
6: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
7: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
8: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
9: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
10: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
11: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
12: [[19, 17, 1, 16], [4, 8, 6, 12, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
13: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
14: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
15: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
16: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
17: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
18: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
19: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
