0: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
1: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
2: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
3: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
4: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
5: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
6: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
7: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
8: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
9: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
10: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
11: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
12: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
13: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
14: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
15: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
16: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
17: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
18: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
19: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
20: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
21: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
22: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
