0: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
1: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
2: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
3: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
4: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
5: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
6: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
7: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
8: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
9: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
10: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
11: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
12: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
13: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
14: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
15: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
16: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
17: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
18: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
19: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
20: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
21: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
22: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
23: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
24: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
25: [[11, 5, 9, 1, 7, 14, 10, 18], [6, 8, 4, 2, 22, 37, 29], [3, 12, 15, 13, 20, 16, 19], [26, 21, 17, 24, 28, 27, 25], [31, 23, 30, 35, 32, 33, 34, 36]]
