0: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 8, 9, 5, 13], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
1: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
2: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
3: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
4: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
5: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
6: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
7: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
8: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
9: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
10: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
11: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
12: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
13: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
14: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20, 22], [21, 23, 24]]
15: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20], [22, 21, 23, 24]]
16: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20], [22, 21, 23, 24]]
17: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20], [22, 21, 23, 24]]
18: [[10, 3, 2, 4, 7, 11, 14, 1, 16], [6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
19: [[10, 3, 2, 4, 7, 11, 14, 1, 16], [6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
20: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
21: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
22: [[16, 3, 2, 4, 1, 10], [7, 11, 14, 6, 13, 8], [5, 9, 12, 15, 18, 19, 17], [20, 22], [21, 23, 24]]
23: [[16, 10, 3, 2, 1, 4], [7, 11, 14, 6, 13, 8], [5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
24: [[16, 10, 3, 2, 1, 4], [7, 11, 14, 6, 13, 8], [5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
25: [[16, 10, 3, 2, 1, 4], [7, 11, 14, 6, 13, 8], [5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
26: [[16, 10, 3, 2, 1, 4], [7, 11, 14, 6, 13, 8], [5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
27: [[16, 10, 3, 2, 1, 4], [7, 11, 14, 6, 13, 8], [5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
28: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20, 22], [21, 23, 24]]
29: [[10, 3, 2, 1], [4, 7, 11, 14, 6, 13, 16], [8, 5], [9, 12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
30: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22, 21], [23, 24]]
31: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20], [22, 21, 23, 24]]
32: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20], [22, 21, 23, 24]]
33: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5, 9], [12, 15], [18, 19, 17, 20, 22], [21, 23, 24]]
34: [[10, 3, 2, 4, 7, 1, 16], [11, 14, 6, 13, 8, 5], [9, 12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
35: [[10, 3, 2, 4, 7, 1, 16], [11, 14], [6, 13, 8, 5, 9], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
36: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20, 22, 21], [23, 24]]
