0: [[25, 5], [3, 4, 7, 1, 8, 11, 12, 13, 15, 14], [9, 16, 19, 17, 22, 20, 6, 18, 2, 23, 10, 24], [21, 27, 26, 29, 28]]
1: [[25, 5], [3, 4, 7, 1, 10, 11, 12, 8, 15, 14], [9, 24, 19, 13, 22, 20, 16, 6, 2, 23, 18, 17], [21, 27, 26, 29, 28]]
2: [[25, 5], [3, 4, 7, 1, 6, 11, 9, 2, 12, 8, 10], [20, 22, 17, 13, 23, 15, 28, 16, 18, 19, 14], [21, 24, 29, 26, 27]]
3: [[25, 5], [3, 4, 7, 1, 6, 11, 8, 2, 10, 12], [9, 13, 17, 15, 19, 16, 21, 20, 22, 24, 18, 14], [23, 26, 29, 28, 27]]
4: [[25, 5], [3, 4, 7, 1, 11, 2, 13, 6, 15, 8, 10], [21, 9, 16, 12, 17, 20, 19, 18, 22, 23, 14], [28, 26, 24, 27, 29]]
5: [[25, 5], [3, 4, 7, 1, 2, 15, 6, 12, 8, 10, 14], [13, 9, 11, 17, 20, 16, 21, 29, 18, 22, 19], [23, 28, 27, 26, 24]]
6: [[25, 5], [3, 4, 7, 1, 2, 11, 6, 12, 8, 10, 14], [13, 16, 17, 9, 20, 18, 15, 19, 21, 23, 22], [24, 28, 27, 26, 29]]
7: [[25, 5], [3, 4, 7, 1, 15, 11, 8, 9, 6, 14], [10, 12, 2, 19, 22, 20, 13, 16, 24, 17, 18, 21], [23, 26, 27, 28, 29]]
8: [[25, 5], [3, 4, 7, 1, 15, 11, 8, 9, 6, 14], [10, 12, 2, 19, 22, 20, 13, 16, 24, 17, 18, 21], [23, 26, 27, 28, 29]]
9: [[25, 5], [3, 4, 7, 1, 9, 2, 11, 12, 8, 10, 14], [15, 6, 19, 13, 16, 18, 17, 21, 23, 22, 20], [29, 26, 27, 24, 28]]
10: [[25, 5], [3, 4, 7, 1, 12, 2, 15, 11, 8, 6, 9, 14], [13, 16, 17, 10, 20, 18, 22, 26, 19, 24], [21, 23, 27, 29, 28]]
11: [[25, 5], [3, 4, 7, 1, 12, 2, 15, 11, 8, 6, 9, 14], [13, 16, 17, 10, 20, 18, 22, 26, 19, 24], [21, 23, 27, 29, 28]]
12: [[25, 5], [3, 4, 7, 1, 2, 9, 6, 11, 8, 10, 14], [13, 22, 20, 12, 19, 29, 16, 15, 17, 18, 21], [23, 26, 24, 27, 28]]
13: [[25, 5], [3, 4, 7, 1, 2, 11, 9, 10, 14], [12, 13, 15, 29, 16, 17, 18, 20, 19, 21, 22, 6, 8], [24, 23, 26, 27, 28]]
14: [[25, 5], [3, 4, 7, 1, 6, 11, 9, 12, 8, 10, 14], [13, 15, 20, 16, 19, 27, 18, 17, 21, 22, 2], [23, 24, 29, 26, 28]]
15: [[25, 5], [3, 4, 7, 1, 2, 9, 11, 6, 12, 10, 14], [13, 21, 15, 16, 19, 17, 18, 23, 22, 20, 8], [28, 24, 26, 29, 27]]
16: [[25, 5], [3, 4, 7, 1, 2, 9, 11, 6, 12, 10, 14], [13, 21, 15, 16, 19, 17, 18, 23, 22, 20, 8], [28, 24, 26, 29, 27]]
17: [[25, 5], [3, 4, 7, 1, 9, 6, 12, 2, 15, 11, 8, 10, 14], [29, 13, 16, 23, 22, 18, 17, 21, 19], [20, 27, 24, 26, 28]]
18: [[25, 5], [3, 4, 7, 1, 11, 13, 6, 2, 8, 10], [19, 12, 15, 18, 22, 27, 17, 21, 16, 20, 9, 14], [23, 26, 24, 28, 29]]
19: [[25, 5], [3, 4, 7, 1, 11, 2, 13, 12, 9, 8, 14], [6, 21, 15, 18, 26, 16, 17, 22, 19, 23, 10], [20, 28, 24, 27, 29]]
20: [[25, 5, 3, 4, 7, 1, 2, 8, 13, 9, 20], [10, 6, 11, 12, 16, 19, 15, 18, 22, 17, 14], [21, 26], [23, 28, 24, 27, 29]]
21: [[25, 5, 3, 4, 7, 1, 2, 11, 8, 6], [9, 12, 13, 18, 15, 16, 17, 19, 24, 22, 10, 14], [20, 23], [21, 26, 27, 28, 29]]
22: [[25, 5], [3, 4, 7, 1, 2, 13, 9, 6, 15, 10, 14], [21, 22, 16, 24, 28, 19, 18, 20, 11, 12, 8], [29, 26, 17, 27, 23]]
23: [[25, 5], [3, 4, 7, 1, 11, 12, 6, 2, 10, 14], [9, 13, 17, 22, 20, 15, 18, 26, 21, 16, 23, 8], [19, 24, 27, 29, 28]]
