0: [[2, 1, 13], [4, 3, 6, 5], [11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
1: [[2, 1, 13], [4, 3, 6, 5], [11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
2: [[2, 1, 13], [4, 3, 6, 5], [11, 7, 9, 8], [10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
3: [[2, 1, 13], [3, 6, 5, 4], [11, 7], [9, 8, 10, 14, 12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
4: [[2, 1], [3, 6, 5, 13, 4], [11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
5: [[2, 13, 1], [6, 5, 4, 3], [11, 7], [9, 8, 10, 14, 12], [15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
6: [[2, 1], [3, 6, 5, 13, 4], [11, 7, 9, 8], [10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
7: [[2, 1], [3, 6, 5, 13, 4], [11, 7, 9, 8], [10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
8: [[2, 1], [3, 6, 5, 13, 4], [11, 7, 9, 8], [10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
9: [[2, 1], [3, 6, 5, 13, 4], [11, 7, 9, 8], [10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
10: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
11: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
12: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
13: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
14: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
15: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
16: [[2, 1], [3, 6, 13], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
17: [[2, 1, 13], [4, 3], [6, 5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
18: [[2, 1, 13], [4, 3], [6, 5, 11, 7, 9], [8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
19: [[2, 3, 1], [6, 5, 13], [11, 7, 9], [8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
20: [[2, 1], [3, 6, 13], [5, 11, 7, 9], [8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
21: [[2, 1], [3, 6, 13], [5, 11, 7, 9], [8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 4], [21, 23, 24]]
22: [[2, 1], [13, 4, 3, 6, 5], [11, 7, 9, 8, 10], [14, 12], [15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
23: [[2, 1, 13], [4, 3], [6, 5, 11, 7, 9, 8, 10, 14], [12, 15, 16], [19, 17, 20, 18, 22], [21, 23, 24]]
24: [[2, 1, 13], [4, 3], [6, 5, 11, 7, 9, 8, 10, 14], [12, 15, 16], [19, 17, 20, 18, 22], [21, 23, 24]]
25: [[2, 1, 13], [4, 3], [6, 5, 11, 7], [9, 8, 10], [14, 12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
26: [[2, 1, 13, 4], [3, 6], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
27: [[2, 1], [13, 4, 3, 6], [5, 11, 7, 9, 8, 10], [14, 12], [15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
28: [[2, 1], [13, 4, 3], [6, 5, 11, 7, 9], [8, 10, 14, 12], [15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
29: [[2, 1, 13], [4, 3], [6, 5, 11], [7, 9, 8, 10], [14, 12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
30: [[2, 13, 6, 5, 11, 1], [7, 9, 8, 10], [14, 12, 15], [16, 19, 4, 3], [17, 20, 18, 22], [21, 23, 24]]
31: [[2, 1], [13, 4, 3, 6, 5], [11, 7, 9], [8, 10], [14, 12, 15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
32: [[2, 1, 13, 4, 3], [6, 5], [11, 7, 9], [8, 10], [14, 12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
33: [[2, 1, 13, 4], [3, 6, 5, 11], [7, 9], [8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
34: [[2, 1, 13, 4], [3, 6, 5, 11], [7, 9], [8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
35: [[2, 1], [13, 4, 3, 6], [5, 11], [7, 9, 8], [10, 14, 12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
36: [[2, 1, 13, 4], [3, 6], [5, 11, 7], [9, 8, 10], [14, 12, 15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
37: [[2, 13, 6, 5, 11, 1], [7, 9, 8], [10, 14, 12, 15, 16, 4, 3], [19, 17], [20, 18, 22], [21, 23, 24]]
38: [[2, 1], [3, 6, 13, 4], [5, 11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22, 21], [23, 24]]
