0: [[7, 13, 10, 12, 2], [5, 3, 1], [4, 6, 9, 8, 11]]
1: [[7, 13, 10, 12, 2], [1, 5, 3], [4, 6, 9, 8, 11]]
2: [[7, 13, 10, 12, 2], [1, 5, 3], [4, 6, 9, 8, 11]]
3: [[7, 13, 10, 12, 2], [1, 5, 3], [4, 6, 9, 8, 11]]
4: [[13, 7], [10, 12, 2], [1, 5, 3], [4, 6, 9, 8, 11]]
5: [[13, 7], [10, 12, 2], [1, 5, 3], [4, 6, 9, 8, 11]]
6: [[13, 7], [10, 12, 2], [1, 5, 3], [4, 6, 9, 8, 11]]
7: [[7, 13, 10, 12, 2], [1, 5, 3, 4], [6, 9, 8, 11]]
8: [[7, 13, 10, 12, 2], [1, 5, 3, 4], [6, 9, 8, 11]]
9: [[7, 13, 10, 12, 2], [1, 5, 3, 4], [6, 9, 8, 11]]
10: [[13, 7], [10, 12, 2], [1, 5, 3, 4], [6, 9, 8, 11]]
11: [[7, 13, 10, 12], [2, 1, 5, 3, 4], [6, 9, 8, 11]]
12: [[7, 13, 10, 12], [2, 1, 5, 3, 4], [6, 9, 8, 11]]
13: [[7, 13], [10, 12, 2], [1, 5, 3, 4], [6, 9], [8, 11]]
14: [[7, 13], [10, 12, 2], [1, 5, 3], [4, 6], [9, 8, 11]]
15: [[7, 13, 10, 12, 2, 1], [5, 3, 4], [6, 9, 8, 11]]
16: [[7, 13, 10, 12, 2, 1], [5, 3, 4], [6, 9, 8, 11]]
17: [[13, 10, 12, 7], [1, 5, 3, 4, 2], [6, 9], [8, 11]]
18: [[7, 13], [10, 12, 2, 1], [5, 3, 4, 6, 9], [8, 11]]
19: [[7, 13], [10, 12, 2, 1], [5, 3, 4], [6, 9], [8, 11]]
20: [[7, 13], [10, 12, 2, 1], [5, 3, 4], [6, 9], [8, 11]]
21: [[7, 13], [10, 12, 2, 1, 5], [3, 4, 6], [9, 8, 11]]
22: [[7, 13], [10, 12, 2, 1, 5, 3, 4, 6, 9], [8, 11]]
23: [[13, 10, 7], [12, 1, 2], [5, 3, 4], [6, 9, 8, 11]]
24: [[7, 13, 10, 12], [2, 1, 5], [3, 4, 6, 9, 8, 11]]
25: [[13, 7], [10, 12, 2], [1, 5], [3, 4], [6, 9, 8, 11]]
26: [[7, 13, 10], [12, 2, 1, 5, 3, 4, 6, 9], [8, 11]]
27: [[13, 10, 12, 7], [1, 5, 2], [3, 4, 6, 9, 8], [11]]
