0: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
1: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
2: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
3: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
4: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
5: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
6: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
7: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
8: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
9: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
10: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
11: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
12: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
13: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
14: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
15: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
16: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
17: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
18: [[19, 1, 6, 2, 7], [5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
19: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 13, 12], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
20: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
21: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
22: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
23: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
24: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
25: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
26: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
27: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
28: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
29: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 13, 12], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
30: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
31: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 13, 12], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
32: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
