0: [[3, 1], [10, 5, 8, 2], [14, 4], [6, 7], [11, 13, 12, 9], [15, 16], [19, 17, 20, 18]]
1: [[3, 1], [10, 5, 8, 2], [14, 4], [6, 7], [11, 13, 12, 9], [15, 16], [19, 17, 20, 18]]
2: [[3, 1], [10, 5, 8, 2], [14, 4], [6, 7], [11, 13, 12, 9], [15, 16], [19, 17, 20, 18]]
3: [[3, 1], [10, 5], [8, 2], [14, 4, 6, 7], [11, 13, 12, 9], [15, 16], [19, 17, 20, 18]]
4: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 6], [11, 13, 12, 9], [16, 19, 17, 20, 18, 15]]
5: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 6], [11, 13, 12, 9], [16, 19, 17, 20, 18, 15]]
6: [[3, 1], [10, 5], [8, 2, 14, 4], [6, 7], [9, 13, 11, 12], [15, 16], [17, 19, 20, 18]]
7: [[3, 1], [10, 5, 8, 2], [14, 4], [7, 11, 13, 12], [16, 9, 6, 15], [19, 17, 20, 18]]
8: [[3, 1], [10, 5, 8, 2], [14, 4], [11, 12, 9, 15], [13, 7, 16, 6], [19, 17, 20, 18]]
9: [[3, 1], [10, 5, 8], [2, 14, 4, 6], [7], [11, 13, 12, 9], [16, 19, 17, 20, 18, 15]]
10: [[3, 1], [10, 5, 8, 2], [14, 4], [7], [11, 13, 9], [12, 16, 6, 15], [19, 17, 20, 18]]
11: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 11, 13, 12, 9, 6], [15, 16, 19, 17, 20, 18]]
12: [[3, 1], [10, 5], [8, 2], [14, 4], [7], [11, 13, 9], [12], [16, 6, 15], [19, 17, 20, 18]]
13: [[3, 1], [10, 5, 8, 2], [14, 4, 6], [11, 9, 15], [12, 7, 13, 16], [19, 17, 20, 18]]
14: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 11, 6], [13, 12, 16, 9, 15], [19, 17, 20, 18]]
15: [[3, 1], [10, 5], [8, 2], [14, 4, 7, 6], [9, 13], [11, 12, 15, 18, 17, 16, 19, 20]]
16: [[3, 1], [10, 5], [8, 2, 14, 4], [7], [11, 13, 9], [12], [16, 6, 15], [19, 17, 20, 18]]
17: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 11, 6], [13, 12, 9, 15], [16, 19, 17, 20, 18]]
18: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 11, 13, 9, 6], [12, 19, 16, 17, 15], [20, 18]]
19: [[3, 1], [10, 5], [8, 2], [14, 4], [11, 12, 15], [7, 13, 16, 9, 6], [19, 17], [20, 18]]
20: [[3, 1], [10, 5], [8, 2, 14], [7, 9, 4, 6], [13, 11, 12], [16, 19, 17, 15], [20, 18]]
21: [[3, 1], [10, 5], [8, 2, 14, 4], [7, 11, 13, 9, 6], [12], [19, 16, 17, 20, 18, 15]]
22: [[3, 1, 10], [5, 8, 2], [14, 4, 6], [7, 13, 9], [11, 12], [16, 19, 17, 15], [20, 18]]
23: [[3, 1], [10, 5], [8, 2, 14], [7, 11, 13, 9, 4, 6], [12, 15, 16, 19, 17, 20, 18]]
24: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 11, 6], [13, 12, 18, 9, 15], [17, 16, 20, 19]]
25: [[3, 1, 10], [5, 8, 2], [14, 4], [6, 7], [9, 13], [11, 12], [15, 18, 17, 16], [20, 19]]
26: [[3, 1], [10, 5, 8], [2, 14, 4], [7, 11, 13, 9, 6], [12], [18, 17], [16, 20, 19, 15]]
27: [[3, 1], [10, 5, 8], [2, 14, 4], [11, 12, 7, 9, 15], [13, 16, 6], [19, 17], [20, 18]]
28: [[3, 1], [10, 5], [8, 2, 14], [7, 4, 6], [13, 11, 9], [12, 16, 15], [17, 19], [20, 18]]
29: [[3, 1], [10, 5], [8, 2, 14], [7, 4, 6], [11, 13, 9], [12], [16, 19, 15], [17, 20, 18]]
30: [[3, 1], [10, 5, 8], [2, 14, 4], [7, 11, 13, 9, 6], [12], [16, 19, 17, 20, 15], [18]]
31: [[3, 1], [10, 5, 8], [2, 14, 4], [7], [11, 13, 12], [18, 9], [19, 16, 6, 15], [20, 17]]
32: [[3, 1, 10], [5, 8], [2, 14, 4, 6], [7, 13, 9], [11, 12], [16], [19, 17, 20, 18, 15]]
33: [[3, 1, 10], [5, 8, 2], [14, 4], [7, 13, 9, 6], [11, 12, 15, 16, 19, 17, 20, 18]]
34: [[3, 1, 10], [5, 8, 2], [14, 4], [6, 7], [9, 13, 11], [12, 20, 17], [15, 16], [18, 19]]
35: [[3, 1], [10, 5], [8, 2], [14, 4], [7, 11, 13, 12, 15, 16, 19, 17, 20, 18, 9, 6]]
36: [[3, 1], [10, 5], [8, 2], [14], [7, 6], [13, 11, 9], [12, 20, 15], [17, 19], [16, 18, 4]]
37: [[3, 1], [10, 5], [8, 2, 14], [7, 4, 6], [13, 9, 15], [12, 11, 16], [17, 19], [20, 18]]
38: [[3, 1], [10, 5], [8, 2], [14, 7, 13, 11, 12, 15, 16, 19, 17, 20, 18, 9, 4, 6]]
39: [[3, 1], [10, 5], [8, 2, 14], [7, 11, 4, 6], [13, 12, 15, 16, 19, 17, 20, 18, 9]]
40: [[3, 1], [10, 5], [8, 2, 14, 4], [7, 11, 13, 12, 17, 16, 15, 19, 20, 18, 9, 6]]
41: [[3, 1, 10, 5], [8, 2], [14, 4, 6, 7, 11, 13, 9, 12, 15, 16, 19, 17, 20, 18]]
