0: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3, 6, 18, 5, 8, 16], [10, 14], [17, 15, 20], [24, 21, 23]]
1: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3, 6, 18, 5, 8, 16], [10, 14], [17, 15, 20], [24, 21, 23]]
2: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3, 6, 18, 5, 8, 16, 10, 14, 17, 15, 20], [24, 21, 23]]
3: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6, 18, 5, 8, 16], [10, 14], [17, 15, 20], [24, 21, 23]]
4: [[11, 7], [9, 1, 13], [4, 22], [19, 12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
5: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
6: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
7: [[11, 7], [9, 1, 13], [4, 22], [19, 12, 2], [3, 6], [18, 5], [8, 16], [10, 14], [17, 15, 20], [24, 21, 23]]
8: [[11, 7], [9, 1, 13], [4, 22], [19, 12, 2], [3, 6, 18], [5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
9: [[11, 7], [9, 1, 13], [4, 22], [19, 12, 2], [3, 6, 18], [5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
10: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
11: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
12: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
13: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
14: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3], [6, 18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
15: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
16: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
17: [[11, 7], [9, 1], [13, 4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
18: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6], [18, 5], [8, 16], [10, 14], [17, 15, 20], [24, 21, 23]]
19: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18], [5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
20: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6, 18], [5, 8, 16], [10, 14, 17], [15, 20], [24, 21, 23]]
21: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2, 3], [6, 18, 5], [8, 16], [10, 14], [17, 15, 20], [24, 21, 23]]
22: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10], [14, 17], [15, 20], [24, 21, 23]]
23: [[11, 7], [9, 1], [13, 4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10], [14, 17, 15, 20], [24, 21, 23]]
24: [[11, 7, 9, 1], [13, 4, 22], [19, 12, 2], [3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
25: [[11, 7], [9, 1], [13, 4], [22, 19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
26: [[11, 7], [9, 1], [13, 4], [22, 19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
27: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6], [18, 5], [8, 16, 10], [14, 17, 15, 20], [24, 21, 23]]
28: [[11, 7], [9, 1], [13, 4], [22, 19, 12], [2, 3, 6], [18, 5, 8], [16, 10], [14, 17], [15, 20], [24, 21, 23]]
29: [[11, 7], [9, 1], [13, 4], [22, 19, 12], [2, 3], [6, 18], [5, 8], [16, 10, 14], [17, 15, 20], [24, 21, 23]]
30: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5], [8, 16, 10], [14, 17, 15], [20, 24, 21, 23]]
31: [[11, 7], [9, 1, 13], [4, 22], [19, 12, 2], [3, 6, 18], [5, 8, 16], [10, 14, 17], [15, 20, 24, 21, 23]]
32: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14], [17, 15, 20, 24, 21, 23]]
33: [[11, 7, 9], [1, 13], [4, 22], [19, 12, 2], [3, 6, 18], [5, 8, 16], [10, 14, 17], [15, 20, 24], [21, 23]]
34: [[11, 7], [9, 1], [13, 4, 22], [19, 12, 2], [3, 6, 18], [5, 8, 16], [10, 14, 17], [15, 20, 24], [21, 23]]
35: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18], [5, 8, 16], [10, 14, 17], [15, 20, 24, 21, 23]]
36: [[11, 7, 9, 1, 13, 4, 22, 19, 12, 2], [3, 6, 18], [5, 8, 16, 10, 14, 17, 15, 20, 24], [21, 23]]
37: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5, 8, 16], [10, 14, 17, 15, 20, 24, 21, 23]]
38: [[11, 7, 9], [1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5], [8, 16], [10, 14, 17], [15, 20, 24], [21, 23]]
39: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10, 14, 17, 15, 20, 24, 21, 23]]
40: [[11, 7], [9, 1, 13], [4, 22], [19, 12, 2], [3, 6, 18, 5, 8, 16, 10, 14, 17, 15, 20, 24, 21, 23]]
41: [[11, 7], [9, 1, 13], [4, 22], [19, 12], [2, 3, 6], [18, 5, 8], [16, 10], [14, 17, 15], [20, 24, 21], [23]]
42: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5, 8, 16, 10, 14, 17, 15, 20, 24, 21, 23]]
43: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5, 8, 16, 10, 14, 17, 15, 20, 24, 21, 23]]
44: [[11, 7], [9, 1], [13, 4], [22, 19, 12, 2, 3, 6, 18, 5], [8, 16], [10, 14, 17], [15, 20, 24], [21, 23]]
45: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5], [8, 16, 10, 14, 17, 15, 20, 24, 21, 23]]
46: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5], [8, 16, 10, 14, 17, 15, 20, 24, 21, 23]]
47: [[11, 7], [9, 1, 13], [4, 22, 19], [12, 2, 3], [6, 18, 5], [8, 16, 10], [14, 17, 15, 20, 24, 21, 23]]
