0: [[3, 2, 9, 6, 1, 13, 10], [4, 22, 5], [14, 8, 7, 11], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
1: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
2: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
3: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
4: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
5: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
6: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
7: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
8: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
9: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
10: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
11: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
12: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
13: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
14: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
15: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
16: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
17: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
18: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
19: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
20: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
21: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
22: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
23: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
24: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
25: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
26: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
27: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
28: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
29: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
30: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
31: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
32: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
33: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13, 12], [16, 15, 17, 18, 19, 20], [21, 23, 24]]
34: [[3, 2, 9, 6, 10, 1], [4, 22, 5, 14], [8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
35: [[3, 2, 9, 6, 10, 1], [4, 22, 5, 14], [8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
36: [[3, 2, 9, 6, 10, 1], [4, 22], [5, 14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
37: [[3, 2, 9, 6, 10, 1], [4, 22], [5, 14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
38: [[3, 2, 9, 10, 1], [6, 4, 22, 5, 14], [8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
39: [[3, 2, 9, 6, 10, 1], [4, 22, 5, 14, 8], [7, 11, 13, 12], [16, 15, 17, 18, 19, 20], [21, 23, 24]]
40: [[10, 1, 3, 2, 9], [6, 4, 22], [5, 14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
41: [[10, 1, 3, 2, 9, 6, 4], [22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
42: [[10, 1, 3, 2, 9, 6, 4], [22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20], [21, 23, 24]]
43: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19, 20, 21], [23, 24]]
44: [[1, 3, 2, 9, 4, 10, 6], [22, 5, 14], [8, 7, 11, 13, 12], [16, 15, 17, 18, 19, 20], [21, 23, 24]]
45: [[1, 3, 2, 9, 4, 10, 6], [22, 5, 14], [8, 7, 11, 13, 12], [16, 15, 17, 18, 19, 20], [21, 23, 24]]
46: [[3, 2, 9, 6, 10, 1], [4, 22, 5], [14, 8, 7, 11, 13], [12, 16, 15, 17, 18, 19], [20, 21, 23, 24]]
47: [[3, 2, 9, 6, 10, 1], [4, 22], [5, 14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19], [20, 21, 23, 24]]
48: [[3, 2, 9, 6, 10, 1], [4, 22], [5, 14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19], [20, 21, 23, 24]]
49: [[3, 2, 9, 10, 1], [6, 4, 22], [5, 14, 8, 7, 11], [13, 12, 16, 15, 17, 18, 19], [20, 21, 23, 24]]
