0: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10], [26, 25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31, 30, 33, 34, 32], [35, 36]]
1: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10], [26, 25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31, 30, 33, 34, 32], [35, 36]]
2: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10], [26, 25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31, 30, 33, 34, 32], [35, 36]]
3: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10], [26, 25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33], [34, 32, 35, 36]]
4: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33, 34], [32, 35, 36]]
5: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33, 34], [32, 35, 36]]
6: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33, 34], [32, 35, 36]]
7: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31], [30, 33, 34], [32, 35, 36]]
8: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31], [30, 33, 34], [32, 35, 36]]
9: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31], [30, 33, 34], [32, 35, 36]]
10: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31], [30, 33, 34], [32, 35, 36]]
11: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23, 31], [30, 33, 34], [32, 35, 36]]
12: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33], [34, 32, 35, 36]]
13: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33], [34, 32, 35, 36]]
14: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33], [34, 32, 35, 36]]
15: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33], [34, 32, 35, 36]]
16: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29, 17], [27, 23, 31], [30, 33, 34], [32, 35, 36]]
17: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29, 17], [27, 23, 31], [30, 33, 34], [32, 35, 36]]
18: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33, 34, 32, 35, 36]]
19: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11, 24], [16, 29, 17], [27, 23, 31, 30, 33, 34, 32, 35, 36]]
20: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11, 24], [16, 29, 17], [27, 23, 31, 30, 33, 34, 32, 35, 36]]
21: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29, 17], [27, 23, 31], [30, 33, 34, 32, 35, 36]]
22: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11, 24], [16, 29, 17], [27, 23, 31], [30, 33, 34], [32, 35, 36]]
23: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11, 24, 16, 29, 17, 27, 23, 31, 30, 33, 34, 32, 35, 36]]
24: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11, 24], [16, 29, 17], [27, 23, 31], [30, 33, 34], [32, 35, 36]]
25: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20], [4, 5, 8, 15], [14, 10, 26], [25, 21, 28], [19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33, 34, 32, 35, 36]]
26: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10, 26], [25, 21], [28, 19, 13, 11], [24, 16, 29], [17, 27, 23], [31, 30, 33, 34], [32, 35, 36]]
27: [[6, 37, 1], [22, 3, 2], [7, 18, 9], [12, 20, 4], [5, 8, 15], [14, 10], [26, 25, 21], [28, 19, 13], [11, 24, 16, 29], [17, 27, 23], [31, 30, 33], [34, 32, 35, 36]]
