0: [[1, 5, 3], [4, 10, 12, 2], [8, 6, 11, 9], [7, 13]]
1: [[1, 5, 3], [4, 10, 12, 2], [8, 6, 11, 9], [7, 13]]
2: [[1, 5, 4, 3], [10, 12, 2], [8, 6, 11, 9], [7, 13]]
3: [[1, 5, 4, 3], [10, 12, 2], [8, 6, 11, 9], [7, 13]]
4: [[1, 5, 3], [4, 10, 12, 8, 2], [6, 11, 9], [7, 13]]
5: [[1, 5, 3], [4, 10, 12, 8, 2], [6, 11, 9], [7, 13]]
6: [[1, 5, 3, 4], [2, 10, 12], [8, 6, 11], [9, 7, 13]]
7: [[1, 5, 3], [2, 10, 12, 4], [8, 6], [11, 9], [7, 13]]
8: [[1, 5, 3], [2, 10, 12, 4], [8, 6], [11, 9], [7, 13]]
9: [[1, 5, 3], [2, 10, 12, 4], [8, 6], [11, 9, 7, 13]]
10: [[3, 1, 5], [4, 2, 10, 12, 8, 6], [11, 9], [7, 13]]
11: [[1, 5, 3], [2, 10, 12, 4], [8, 6], [11, 9, 7, 13]]
12: [[1, 5, 3], [2, 10, 12, 4], [8, 6], [11, 9, 7, 13]]
13: [[1, 5, 3], [4, 10, 2], [12, 8, 6, 11, 9], [7, 13]]
14: [[1, 5, 3, 4], [2, 10, 12], [8, 6], [11, 9, 7, 13]]
15: [[1, 5, 3], [2, 10, 12, 4], [8, 6, 11], [9, 7], [13]]
16: [[3, 1, 5, 4], [10, 12, 6, 2, 8], [11, 9], [7, 13]]
17: [[3, 1, 5, 4], [10, 12, 6, 2, 8], [11, 9], [7, 13]]
18: [[3, 1, 5, 4, 2], [10, 12], [8, 6, 11, 9], [13, 7]]
19: [[3, 1], [5, 4, 2, 10], [12, 8, 6, 11, 9], [7, 13]]
20: [[3, 1], [5, 4, 2, 10, 12], [8, 6, 11, 9, 7, 13]]
21: [[3, 1, 5, 4], [2, 10], [12, 8, 6, 11, 9, 7, 13]]
22: [[1, 5, 3], [2, 4], [10, 12], [8, 6, 11, 9], [7, 13]]
23: [[1, 5, 3], [2, 10, 4], [12, 8, 6, 11], [9, 7], [13]]
24: [[1, 5, 3], [2, 10, 4], [12, 8, 6, 11], [9, 7], [13]]
25: [[1, 5, 3], [2], [10, 12, 8, 6, 4], [11, 9, 7, 13]]
26: [[3, 1, 5, 4], [10, 2], [12, 8], [6, 11, 9, 7, 13]]
27: [[1, 5, 3, 4], [2, 10], [12, 8], [6, 11], [9, 7, 13]]
